#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
41         716643049108262      23.340             0.02               0.0                delayed            zams               19.740             0.02               0.0                delayed            zams               1.45e+04           0.217              end                end            98607628949376   
42         563845604702493      42.716             0.02               0.0                delayed            zams               6.627              0.02               0.0                delayed            zams               52.9               0.402              end                end            225137851209963  
43         728762087390577      73.962             0.02               0.0                delayed            zams               29.332             0.02               0.0                delayed            zams               831                0.0129             end                end            599501695023309  
44         149814666344260      54.441             0.02               0.0                delayed            zams               12.100             0.02               0.0                delayed            zams               1.51e+03           0.19               end                end            619322559323979  
45         254421373421680      24.317             0.02               0.0                delayed            zams               8.978              0.02               0.0                delayed            zams               1.49e+03           0.91               end                end            890218407040974  
46         434368617627921      46.791             0.02               0.0                delayed            zams               25.199             0.02               0.0                delayed            zams               235                0.205              end                end            108799414656605  
47         498366513662477      23.813             0.02               0.0                delayed            zams               11.875             0.02               0.0                delayed            zams               218                0.00511            end                end            121136082438116  
48         921216297690472      27.388             0.02               0.0                delayed            zams               19.967             0.02               0.0                delayed            zams               54.5               0.115              end                end            832964294177335  
49         718430068241588      30.910             0.02               0.0                delayed            zams               17.675             0.02               0.0                delayed            zams               173                0.281              end                end            903588023712841  
50         690247628643687      23.971             0.02               0.0                delayed            zams               23.128             0.02               0.0                delayed            zams               534                0.00964            end                end            322849078164118  
51         346532600981107      60.749             0.02               0.0                delayed            zams               29.401             0.02               0.0                delayed            zams               77.8               0.0237             end                end            449233332076526  
52         213869140712189      22.157             0.02               0.0                delayed            zams               13.307             0.02               0.0                delayed            zams               4.03e+03           0.796              end                end            405331081379608  
53         726233690618949      24.982             0.02               0.0                delayed            zams               20.074             0.02               0.0                delayed            zams               75.4               0.229              end                end            360961103182454  
54         250227943311493      22.485             0.02               0.0                delayed            zams               7.838              0.02               0.0                delayed            zams               71.9               0.0356             end                end            702969072385844  
55         229077743288466      22.203             0.02               0.0                delayed            zams               21.715             0.02               0.0                delayed            zams               66.8               0.00987            end                end            503371998536570  
56         233458930202284      90.152             0.02               0.0                delayed            zams               16.760             0.02               0.0                delayed            zams               5.55e+04           0.541              end                end            156717376315400  
57         983904052637853      22.895             0.02               0.0                delayed            zams               10.047             0.02               0.0                delayed            zams               435                0.634              end                end            336471816580164  
58         183645651302147      27.581             0.02               0.0                delayed            zams               13.851             0.02               0.0                delayed            zams               42.9               0.24               end                end            108864457459979  
59         176828666082463      49.838             0.02               0.0                delayed            zams               36.246             0.02               0.0                delayed            zams               6.76e+03           0.503              end                end            191207694688194  
60         231858355611619      23.092             0.02               0.0                delayed            zams               17.834             0.02               0.0                delayed            zams               116                0.119              end                end            67352574481322   
61         219169748011776      42.549             0.02               0.0                delayed            zams               18.719             0.02               0.0                delayed            zams               156                0.776              end                end            710215602698388  
62         711657225133092      52.299             0.02               0.0                delayed            zams               51.329             0.02               0.0                delayed            zams               1.27e+04           0.0677             end                end            364851916032170  
63         284899030088275      23.521             0.02               0.0                delayed            zams               15.595             0.02               0.0                delayed            zams               4.44e+03           0.0237             end                end            177849258121618  
64         583963926173692      27.262             0.02               0.0                delayed            zams               25.106             0.02               0.0                delayed            zams               35.7               0.00406            end                end            675422378348729  
65         600056228750118      59.578             0.02               0.0                delayed            zams               36.919             0.02               0.0                delayed            zams               549                0.683              end                end            539407379683491  
66         540165461084017      50.408             0.02               0.0                delayed            zams               28.585             0.02               0.0                delayed            zams               1.28e+03           0.517              end                end            335412097697367  
67         520086015922821      34.367             0.02               0.0                delayed            zams               21.356             0.02               0.0                delayed            zams               125                0.00179            end                end            491537941068993  
68         322248882592137      27.935             0.02               0.0                delayed            zams               18.141             0.02               0.0                delayed            zams               1.51e+04           0.669              end                end            694689366768161  
69         676089708141349      23.732             0.02               0.0                delayed            zams               16.536             0.02               0.0                delayed            zams               31.1               0.0362             end                end            481777172341616  
70         651875551704306      44.941             0.02               0.0                delayed            zams               19.683             0.02               0.0                delayed            zams               1.51e+03           0.12               end                end            690570821319096  
71         940628181716659      24.641             0.02               0.0                delayed            zams               5.018              0.02               0.0                delayed            zams               2.31e+03           0.015              end                end            603984327173985  
72         146289914052520      32.064             0.02               0.0                delayed            zams               18.647             0.02               0.0                delayed            zams               669                0.133              end                end            320785424823078  
73         994231756972363      31.921             0.02               0.0                delayed            zams               31.728             0.02               0.0                delayed            zams               148                0.23               end                end            564178522637732  
74         670739903789056      33.921             0.02               0.0                delayed            zams               9.415              0.02               0.0                delayed            zams               381                0.354              end                end            886447772973713  
75         366272141495014      27.016             0.02               0.0                delayed            zams               12.465             0.02               0.0                delayed            zams               7.93e+03           0.0203             end                end            969300144815539  
76         801695490715911      23.719             0.02               0.0                delayed            zams               2.488              0.02               0.0                delayed            zams               1.93e+04           0.349              end                end            710019264242795  
77         930736731396697      22.385             0.02               0.0                delayed            zams               2.490              0.02               0.0                delayed            zams               1.03e+03           0.791              end                end            74952451561332   
78         594973657876797      94.569             0.02               0.0                delayed            zams               33.348             0.02               0.0                delayed            zams               81.6               0.395              end                end            369566208049449  
79         553008965224642      59.281             0.02               0.0                delayed            zams               17.124             0.02               0.0                delayed            zams               33.1               0.0338             end                end            646235279761115  
80         200534743433819      40.299             0.02               0.0                delayed            zams               34.187             0.02               0.0                delayed            zams               167                0.00647            end                end            6896323229562    
81         221136048162713      145.674            0.02               0.0                delayed            zams               105.882            0.02               0.0                delayed            zams               5.98e+04           0.632              end                end            111441371010586  
82         333893700371275      41.098             0.02               0.0                delayed            zams               39.780             0.02               0.0                delayed            zams               33.4               0.0053             end                end            163794807551510  
83         672159850632264      22.486             0.02               0.0                delayed            zams               3.361              0.02               0.0                delayed            zams               69.8               0.356              end                end            310251681212075  
84         331206094437892      33.968             0.02               0.0                delayed            zams               17.251             0.02               0.0                delayed            zams               34.1               0.13               end                end            185344482538132  
85         796442697024803      40.410             0.02               0.0                delayed            zams               27.528             0.02               0.0                delayed            zams               7.25e+04           0.238              end                end            239058210675538  
86         233168010028975      26.560             0.02               0.0                delayed            zams               4.703              0.02               0.0                delayed            zams               340                0.448              end                end            970185740140170  
87         753872748282434      22.471             0.02               0.0                delayed            zams               19.686             0.02               0.0                delayed            zams               183                0.668              end                end            668552012554593  
88         768285379720027      45.695             0.02               0.0                delayed            zams               29.802             0.02               0.0                delayed            zams               42.5               0.134              end                end            398852660910171  
89         890436490492993      36.751             0.02               0.0                delayed            zams               9.513              0.02               0.0                delayed            zams               325                0.2                end                end            84747412847810   
90         558565908158825      27.453             0.02               0.0                delayed            zams               3.556              0.02               0.0                delayed            zams               63.4               0.172              end                end            127667623463003  
91         341661350470722      113.403            0.02               0.0                delayed            zams               15.875             0.02               0.0                delayed            zams               8.47e+03           0.0451             end                end            758652316147862  
92         793628689649402      42.719             0.02               0.0                delayed            zams               14.926             0.02               0.0                delayed            zams               682                0.283              end                end            489946125143223  
93         570227419997269      37.758             0.02               0.0                delayed            zams               8.542              0.02               0.0                delayed            zams               104                0.0373             end                end            871632046007155  
94         614520551082627      30.144             0.02               0.0                delayed            zams               14.311             0.02               0.0                delayed            zams               1.86e+04           0.193              end                end            590128164965305  
95         813832108631959      22.502             0.02               0.0                delayed            zams               5.807              0.02               0.0                delayed            zams               39.6               0.0914             end                end            570090467746538  
96         497293486622830      26.774             0.02               0.0                delayed            zams               8.832              0.02               0.0                delayed            zams               88.6               0.309              end                end            321291875122914  
97         989362853371691      28.715             0.02               0.0                delayed            zams               20.705             0.02               0.0                delayed            zams               136                0.8                end                end            945723994671933  
98         108780334846435      63.268             0.02               0.0                delayed            zams               25.515             0.02               0.0                delayed            zams               164                0.0369             end                end            736207581891287  
99         125610410482803      41.873             0.02               0.0                delayed            zams               41.421             0.02               0.0                delayed            zams               164                0.116              end                end            536079491373781  
100        494589203715982      24.045             0.02               0.0                delayed            zams               20.511             0.02               0.0                delayed            zams               2.01e+04           0.291              end                end            592994556833634  
101        126008940431935      102.556            0.02               0.0                delayed            zams               13.912             0.02               0.0                delayed            zams               189                0.0156             end                end            724244513216498  
102        932690272497511      22.721             0.02               0.0                delayed            zams               10.918             0.02               0.0                delayed            zams               3.94e+03           0.26               end                end            939208646483005  
103        199817945260926      26.592             0.02               0.0                delayed            zams               8.414              0.02               0.0                delayed            zams               119                0.528              end                end            706659596749940  
104        326755927852565      31.799             0.02               0.0                delayed            zams               28.243             0.02               0.0                delayed            zams               32.9               0.0644             end                end            610439809377955  
105        220346327248232      49.107             0.02               0.0                delayed            zams               8.666              0.02               0.0                delayed            zams               68.1               0.425              end                end            229846947631435  
106        999353701303525      63.145             0.02               0.0                delayed            zams               47.396             0.02               0.0                delayed            zams               42.8               0.182              end                end            402264563388814  
107        324134054748439      32.429             0.02               0.0                delayed            zams               5.443              0.02               0.0                delayed            zams               4.67e+03           0.427              end                end            629320559208820  
108        414373538878242      44.885             0.02               0.0                delayed            zams               12.964             0.02               0.0                delayed            zams               98.1               0.219              end                end            371463788599897  
109        322871111041528      128.494            0.02               0.0                delayed            zams               47.623             0.02               0.0                delayed            zams               541                0.394              end                end            367864196800557  
110        988108302897120      34.972             0.02               0.0                delayed            zams               23.837             0.02               0.0                delayed            zams               77.7               0.168              end                end            385867067197668  
111        678266932739869      26.085             0.02               0.0                delayed            zams               9.228              0.02               0.0                delayed            zams               31.6               0.0352             end                end            231643093540608  
112        201783252203046      26.042             0.02               0.0                delayed            zams               6.591              0.02               0.0                delayed            zams               897                0.0553             end                end            463915513088065  
113        644066399364562      25.392             0.02               0.0                delayed            zams               22.858             0.02               0.0                delayed            zams               2.76e+04           0.408              end                end            711301569799551  
114        106835616961814      22.174             0.02               0.0                delayed            zams               21.749             0.02               0.0                delayed            zams               70.7               0.264              end                end            630908193336837  
115        600688743525522      78.241             0.02               0.0                delayed            zams               14.805             0.02               0.0                delayed            zams               43                 0.0201             end                end            669702298370791  
116        194979645715288      28.324             0.02               0.0                delayed            zams               15.850             0.02               0.0                delayed            zams               1.08e+03           0.0262             end                end            327931853036483  
117        675342366900201      23.463             0.02               0.0                delayed            zams               2.828              0.02               0.0                delayed            zams               583                0.0926             end                end            794986449596989  
118        115171380507651      37.521             0.02               0.0                delayed            zams               17.475             0.02               0.0                delayed            zams               1.05e+03           0.346              end                end            451884865199380  
119        168899908574824      28.334             0.02               0.0                delayed            zams               3.177              0.02               0.0                delayed            zams               116                0.659              end                end            580138722987994  
