0.00000000e+00   0   2.20667202e+01   1   8.93293716e+02   2   8.94210900e+02   3   9.14360574e+02   4   1.14738737e+03   5   1.14792635e+03   6   
0.00000000e+00   0   1.83727786e+01   1   7.02003584e+02   2   7.02694225e+02   3   7.90449816e+02   4   8.88773824e+02   5   8.89220933e+02   6   
0.00000000e+00   0   1.40536907e+01   1   5.61060829e+02   2   5.61606008e+02   3   6.11778736e+02   4   7.01302795e+02   5   7.01653987e+02   6   
0.00000000e+00   0   1.19139646e+01   1   4.59907028e+02   2   4.60323998e+02   3   4.84797828e+02   4   5.63674209e+02   5   5.63946324e+02   6   
0.00000000e+00   0   1.02175793e+01   1   3.81306962e+02   2   3.81644711e+02   3   3.93725116e+02   4   4.61303669e+02   5   4.61515229e+02   6   
0.00000000e+00   0   8.45158741e+00   1   3.20522186e+02   2   3.20804741e+02   3   3.30303130e+02   4   3.81901594e+02   5   3.82069173e+02   6   
0.00000000e+00   0   7.74440270e+00   1   2.73362329e+02   2   2.73594071e+02   3   2.81331371e+02   4   3.22170559e+02   5   3.22297881e+02   6   
0.00000000e+00   0   6.52320935e+00   1   2.34570807e+02   2   2.34766873e+02   3   2.41361735e+02   4   2.73668928e+02   5   2.73779304e+02   6   
0.00000000e+00   0   5.71586846e+00   1   2.03462017e+02   2   2.03630402e+02   3   2.09289321e+02   4   2.35835047e+02   5   2.35926079e+02   6   
0.00000000e+00   0   4.99004880e+00   1   1.78204099e+02   2   1.78346276e+02   3   1.83292218e+02   4   2.05119566e+02   5   2.05196118e+02   6   
0.00000000e+00   0   3.63310765e+00   1   1.31982685e+02   2   1.32084190e+02   3   1.35768250e+02   4   1.50194839e+02   5   1.50247216e+02   6   
0.00000000e+00   0   2.81296373e+00   1   1.01815316e+02   2   1.01890480e+02   3   1.04686765e+02   4   1.14777748e+02   5   1.14816135e+02   6   
0.00000000e+00   0   2.25117298e+00   1   8.09222812e+01   2   8.09827408e+01   3   8.31598409e+01   4   9.06413214e+01   5   9.06713521e+01   6   
0.00000000e+00   0   1.80769554e+00   1   6.61305611e+01   2   6.61780572e+01   3   6.79220338e+01   4   7.36692412e+01   5   7.36934628e+01   6   
0.00000000e+00   0   1.71682438e+00   1   6.12911939e+01   2   6.13351937e+01   3   6.28943173e+01   4   6.82232993e+01   5   6.82454869e+01   6   
0.00000000e+00   0   1.57486988e+00   1   5.70773977e+01   2   5.71185761e+01   3   5.85240070e+01   4   6.34020181e+01   5   6.34228606e+01   6   
0.00000000e+00   0   1.25590522e+00   1   4.68728215e+01   2   4.69071399e+01   3   4.79974431e+01   4   5.18263217e+01   5   5.18434183e+01   6   
0.00000000e+00   0   1.06751666e+00   1   4.05271990e+01   2   4.05561725e+01   3   4.14225587e+01   4   4.46779399e+01   5   4.46920485e+01   6   
0.00000000e+00   0   9.77865080e-01   1   3.54678956e+01   2   3.54937555e+01   3   3.61899450e+01   4   3.90090809e+01   5   3.90210409e+01   6   
0.00000000e+00   0   7.11019546e-01   1   2.81625154e+01   2   2.81836607e+01   3   2.86455157e+01   4   3.08684780e+01   5   3.08778445e+01   6   
0.00000000e+00   0   5.83170154e-01   1   2.31416937e+01   2   2.31593390e+01   3   2.34595513e+01   4   2.52588842e+01   5   2.52663571e+01   6   
0.00000000e+00   0   4.19501373e-01   1   1.69283439e+01   2   1.69417389e+01   3   1.69835811e+01   4   1.84134308e+01   5   1.84185250e+01   6   
0.00000000e+00   0   3.38972352e-01   1   1.33973243e+01   2   1.34080516e+01   3   1.34334995e+01   4   1.45890219e+01   5   1.45929065e+01   6   
0.00000000e+00   0   2.56281743e-01   1   1.11298722e+01   2   1.11391717e+01   3   1.11589237e+01   4   1.20757815e+01   5   1.20791782e+01   6   
0.00000000e+00   0   2.28326351e-01   1   9.59090548e+00   2   9.59921431e+00   3   9.61504365e+00   4   1.04021898e+01   5   1.04051928e+01   6   
0.00000000e+00   0   1.89608897e-01   1   8.48695479e+00   2   8.49439897e+00   3   8.50799216e+00   4   9.19812492e+00   5   9.20081498e+00   6   
0.00000000e+00   0   1.26129665e-01   1   5.73298448e+00   2   5.73854619e+00   3   5.74670455e+00   4   6.32413577e+00   5   6.32561569e+00   6   
0.00000000e+00   0   9.63298378e-02   1   4.63174012e+00   2   4.63630982e+00   3   4.64261591e+00   4   5.10130858e+00   5   5.10339912e+00   6   
0.00000000e+00   0   7.84413001e-02   1   4.04383579e+00   2   4.04819952e+00   3   4.05332538e+00   4   4.46631286e+00   5   4.46814402e+00   6   
0.00000000e+00   0   7.13673704e-02   1   3.66801193e+00   2   3.67211572e+00   3   3.67660083e+00   4   4.04160443e+00   5   4.04326010e+00   6   
0.00000000e+00   0   6.52056313e-02   1   3.41344626e+00   2   3.41746796e+00   3   3.42081190e+00   4   3.79512838e+00   5   3.79671955e+00   6   
0.00000000e+00   0   5.90343262e-02   1   3.22446686e+00   2   3.22848508e+00   3   3.23139746e+00   4   3.60260484e+00   5   3.60415320e+00   6   
0.00000000e+00   0   5.81857689e-02   1   3.07608364e+00   2   3.08004066e+00   3   3.08266339e+00   4   3.44930900e+00   5   3.45085835e+00   6   
0.00000000e+00   0   5.30117828e-02   1   2.95877175e+00   2   2.96269575e+00   3   2.96526793e+00   4   3.32623076e+00   5   3.32776174e+00   6   
0.00000000e+00   0   4.52773957e-02   1   2.62409197e+00   2   2.62784649e+00   3   2.63028482e+00   4   2.97390380e+00   5   2.97528122e+00   6   
0.00000000e+00   0   3.77650656e-02   1   2.45324274e+00   2   2.45682202e+00   3   2.45901575e+00   4   2.78713699e+00   5   2.78846764e+00   6   
0.00000000e+00   0   3.71987010e-02   1   2.35408677e+00   2   2.35758187e+00   3   2.35972049e+00   4   2.67874220e+00   5   2.68001305e+00   6   
0.00000000e+00   0   3.35875491e-02   1   2.25977671e+00   2   2.26314583e+00   3   2.26522338e+00   4   2.57359786e+00   5   2.57480659e+00   6   
0.00000000e+00   0   3.40603887e-02   1   2.20540958e+00   2   2.20871110e+00   3   2.21076463e+00   4   2.51509132e+00   5   2.51629270e+00   6   
0.00000000e+00   0   3.16693242e-02   1   2.17468330e+00   2   2.17800060e+00   3   2.18005167e+00   4   2.48385955e+00   5   2.48505909e+00   6   
0.00000000e+00   0   3.18103763e-02   1   2.15555102e+00   2   2.15884443e+00   3   2.16088976e+00   4   2.46380331e+00   5   2.46500094e+00   6   
0.00000000e+00   0   2.92235151e-02   1   2.14962740e+00   2   2.15296841e+00   3   2.15502211e+00   4   2.45948664e+00   5   2.46068758e+00   6   
0.00000000e+00   0   2.82006569e-02   1   2.14295607e+00   2   2.14629267e+00   3   2.14834164e+00   4   2.45196086e+00   5   2.45316025e+00   6   
0.00000000e+00   0   3.06851361e-02   1   2.14209134e+00   2   2.14539066e+00   3   2.14744408e+00   4   2.45189352e+00   5   2.45309482e+00   6   
