0.00000000e+00   0   2.21995292e+01   1   8.63686394e+02   2   8.64540272e+02   3   8.83888665e+02   4   1.11174922e+03   5   1.11227871e+03   6   
0.00000000e+00   0   1.76436786e+01   1   6.80440907e+02   2   6.81090910e+02   3   7.65311254e+02   4   8.62524082e+02   5   8.62941466e+02   6   
0.00000000e+00   0   1.36023568e+01   1   5.42543898e+02   2   5.43064179e+02   3   5.91832738e+02   4   6.79722059e+02   5   6.80058671e+02   6   
0.00000000e+00   0   1.16794250e+01   1   4.45938915e+02   2   4.46348824e+02   3   4.69702186e+02   4   5.48224948e+02   5   5.48486446e+02   6   
0.00000000e+00   0   9.89447744e+00   1   3.71928955e+02   2   3.72250003e+02   3   3.84166555e+02   4   4.49723652e+02   5   4.49924439e+02   6   
0.00000000e+00   0   8.24063384e+00   1   3.13561115e+02   2   3.13831457e+02   3   3.23200622e+02   4   3.73619427e+02   5   3.73778928e+02   6   
0.00000000e+00   0   6.99586973e+00   1   2.66601914e+02   2   2.66824915e+02   3   2.74498747e+02   4   3.14510499e+02   5   3.14639385e+02   6   
0.00000000e+00   0   6.60380658e+00   1   2.30142978e+02   2   2.30332296e+02   3   2.36980057e+02   4   2.68464284e+02   5   2.68569664e+02   6   
0.00000000e+00   0   5.49661547e+00   1   1.99808439e+02   2   1.99967655e+02   3   2.05762516e+02   4   2.31463058e+02   5   2.31549733e+02   6   
0.00000000e+00   0   4.81663365e+00   1   1.75463446e+02   2   1.75602127e+02   3   1.80680182e+02   4   2.01925757e+02   5   2.01997354e+02   6   
0.00000000e+00   0   3.64587316e+00   1   1.30432279e+02   2   1.30532828e+02   3   1.34417193e+02   4   1.48248754e+02   5   1.48296898e+02   6   
0.00000000e+00   0   2.86556011e+00   1   1.01007888e+02   2   1.01082651e+02   3   1.03964835e+02   4   1.13744203e+02   5   1.13779812e+02   6   
0.00000000e+00   0   2.19109996e+00   1   8.04242693e+01   2   8.04847514e+01   3   8.27557208e+01   4   9.00757140e+01   5   9.01042944e+01   6   
0.00000000e+00   0   1.83232927e+00   1   6.59059806e+01   2   6.59540743e+01   3   6.77416178e+01   4   7.34048355e+01   5   7.34276261e+01   6   
0.00000000e+00   0   1.66427199e+00   1   6.11091937e+01   2   6.11541760e+01   3   6.27768348e+01   4   6.79594675e+01   5   6.79810658e+01   6   
0.00000000e+00   0   1.52172319e+00   1   5.70123347e+01   2   5.70541574e+01   3   5.85213295e+01   4   6.33020808e+01   5   6.33220626e+01   6   
0.00000000e+00   0   1.52558394e+00   1   5.50928858e+01   2   5.51333261e+01   3   5.65263210e+01   4   6.11013416e+01   5   6.11206791e+01   6   
0.00000000e+00   0   1.25485310e+00   1   4.69525712e+01   2   4.69874601e+01   3   4.81200191e+01   4   5.18876373e+01   5   5.19038369e+01   6   
0.00000000e+00   0   1.10124404e+00   1   4.06075424e+01   2   4.06383269e+01   3   4.15342545e+01   4   4.47278108e+01   5   4.47419828e+01   6   
0.00000000e+00   0   9.81211741e-01   1   3.56153317e+01   2   3.56425992e+01   3   3.63438826e+01   4   3.91323611e+01   5   3.91442695e+01   6   
0.00000000e+00   0   7.54003139e-01   1   2.83663023e+01   2   2.83876051e+01   3   2.88627807e+01   4   3.10806670e+01   5   3.10895947e+01   6   
0.00000000e+00   0   5.92699651e-01   1   2.33736537e+01   2   2.33915275e+01   3   2.37000410e+01   4   2.54979094e+01   5   2.55050569e+01   6   
0.00000000e+00   0   4.28024471e-01   1   1.71761325e+01   2   1.71896110e+01   3   1.72311539e+01   4   1.86536426e+01   5   1.86587736e+01   6   
0.00000000e+00   0   3.57822234e-01   1   1.35958667e+01   2   1.36070484e+01   3   1.36325820e+01   4   1.47307413e+01   5   1.47347553e+01   6   
0.00000000e+00   0   2.81533573e-01   1   1.13096583e+01   2   1.13190513e+01   3   1.13389468e+01   4   1.22386719e+01   5   1.22419598e+01   6   
0.00000000e+00   0   2.37288286e-01   1   9.76163073e+00   2   9.76997525e+00   3   9.78595901e+00   4   1.05561283e+01   5   1.05591616e+01   6   
0.00000000e+00   0   2.02031584e-01   1   8.63246400e+00   2   8.64002075e+00   3   8.65398072e+00   4   9.35228036e+00   5   9.35491975e+00   6   
0.00000000e+00   0   1.48424983e-01   1   6.85075906e+00   2   6.85752323e+00   3   6.86718190e+00   4   7.41899179e+00   5   7.42110715e+00   6   
0.00000000e+00   0   1.22802288e-01   1   5.82436868e+00   2   5.83024654e+00   3   5.83832892e+00   4   6.32069667e+00   5   6.32251220e+00   6   
0.00000000e+00   0   1.06779265e-01   1   5.15842489e+00   2   5.16356074e+00   3   5.17052938e+00   4   5.56297706e+00   5   5.56430692e+00   6   
0.00000000e+00   0   9.34502527e-02   1   4.29469859e+00   2   4.29890780e+00   3   4.30546418e+00   4   4.66877117e+00   5   4.67004616e+00   6   
0.00000000e+00   0   8.12375858e-02   1   3.92461470e+00   2   3.92869910e+00   3   3.93384909e+00   4   4.29760173e+00   5   4.29902624e+00   6   
0.00000000e+00   0   7.26145718e-02   1   3.56604108e+00   2   3.56989236e+00   3   3.57431867e+00   4   3.91051844e+00   5   3.91189121e+00   6   
0.00000000e+00   0   6.41901602e-02   1   3.43656065e+00   2   3.44075411e+00   3   3.44403663e+00   4   3.80291722e+00   5   3.80438096e+00   6   
