0.00000000e+00   0   2.16237733e+01   1   8.77835267e+02   2   8.78719957e+02   3   9.03667627e+02   4   1.13341890e+03   5   1.13392750e+03   6   
0.00000000e+00   0   1.72009939e+01   1   6.83149387e+02   2   6.83811680e+02   3   7.89566232e+02   4   8.71501234e+02   5   8.71881451e+02   6   
0.00000000e+00   0   1.42808844e+01   1   5.46250628e+02   2   5.46760017e+02   3   6.12139063e+02   4   6.81778812e+02   5   6.82083477e+02   6   
0.00000000e+00   0   1.08737273e+01   1   4.44474498e+02   2   4.44865716e+02   3   4.85061776e+02   4   5.43275085e+02   5   5.43494740e+02   6   
0.00000000e+00   0   9.82391954e+00   1   3.70434547e+02   2   3.70750848e+02   3   3.95660421e+02   4   4.43225206e+02   5   4.43387258e+02   6   
0.00000000e+00   0   8.24843290e+00   1   3.11000342e+02   2   3.11264409e+02   3   3.24780990e+02   4   3.66959258e+02   5   3.67092656e+02   6   
0.00000000e+00   0   7.18861031e+00   1   2.66090162e+02   2   2.66303528e+02   3   2.77675645e+02   4   3.09532123e+02   5   3.09636136e+02   6   
0.00000000e+00   0   6.16315430e+00   1   2.28911833e+02   2   2.29094577e+02   3   2.39033744e+02   4   2.64530325e+02   5   2.64613724e+02   6   
0.00000000e+00   0   5.54767125e+00   1   1.99462692e+02   2   1.99620847e+02   3   2.08321151e+02   4   2.28319326e+02   5   2.28390119e+02   6   
0.00000000e+00   0   4.75651039e+00   1   1.75383962e+02   2   1.75523384e+02   3   1.83202930e+02   4   1.99574298e+02   5   1.99633955e+02   6   
0.00000000e+00   0   4.28464464e+00   1   1.55228807e+02   2   1.55346316e+02   3   1.62064281e+02   4   1.75939834e+02   5   1.75989990e+02   6   
0.00000000e+00   0   3.28674380e+00   1   1.18383945e+02   2   1.18469269e+02   3   1.23462974e+02   4   1.32732808e+02   5   1.32768168e+02   6   
0.00000000e+00   0   2.42485371e+00   1   9.31734347e+01   2   9.32418817e+01   3   9.69312798e+01   4   1.03876131e+02   5   1.03905182e+02   6   
0.00000000e+00   0   2.00904751e+00   1   7.54645204e+01   2   7.55175810e+01   3   7.83133284e+01   4   8.37541382e+01   5   8.37769911e+01   6   
0.00000000e+00   0   1.68220174e+00   1   6.28885479e+01   2   6.29326107e+01   3   6.50758318e+01   4   6.94957349e+01   5   6.95148673e+01   6   
0.00000000e+00   0   1.58251174e+00   1   5.86954785e+01   2   5.87367011e+01   3   6.06905109e+01   4   6.47562701e+01   5   6.47748173e+01   6   
0.00000000e+00   0   1.46644808e+00   1   5.49089235e+01   2   5.49476218e+01   3   5.66794018e+01   4   6.05287899e+01   5   6.05450624e+01   6   
0.00000000e+00   0   1.24881209e+00   1   4.58988873e+01   2   4.59314694e+01   3   4.72242958e+01   4   5.04021753e+01   5   5.04160806e+01   6   
0.00000000e+00   0   1.04660863e+00   1   4.01269592e+01   2   4.01557122e+01   3   4.11444406e+01   4   4.38970733e+01   5   4.39091983e+01   6   
0.00000000e+00   0   9.38968646e-01   1   3.54831840e+01   2   3.55078518e+01   3   3.62880590e+01   4   3.87467590e+01   5   3.87570106e+01   6   
0.00000000e+00   0   7.35214171e-01   1   2.86130648e+01   2   2.86333574e+01   3   2.91178907e+01   4   3.11239078e+01   5   3.11321122e+01   6   
0.00000000e+00   0   6.01476192e-01   1   2.38389551e+01   2   2.38561268e+01   3   2.41595457e+01   4   2.58390575e+01   5   2.58458185e+01   6   
0.00000000e+00   0   4.49114342e-01   1   1.77700946e+01   2   1.77832420e+01   3   1.78199253e+01   4   1.91783334e+01   5   1.91830848e+01   6   
0.00000000e+00   0   3.32552271e-01   1   1.42045578e+01   2   1.42152249e+01   3   1.42415546e+01   4   1.53812506e+01   5   1.53851685e+01   6   
0.00000000e+00   0   2.95158724e-01   1   1.18805672e+01   2   1.18899654e+01   3   1.19100902e+01   4   1.28329499e+01   5   1.28363284e+01   6   
0.00000000e+00   0   2.40277923e-01   1   1.02585652e+01   2   1.02669323e+01   3   1.02829660e+01   4   1.11159913e+01   5   1.11188874e+01   6   
0.00000000e+00   0   2.12694035e-01   1   9.08108783e+00   2   9.08861637e+00   3   9.10241998e+00   4   9.81449330e+00   5   9.81718941e+00   6   
0.00000000e+00   0   1.39140148e-01   1   6.10912349e+00   2   6.11466656e+00   3   6.12285427e+00   4   6.59486223e+00   5   6.59678264e+00   6   
0.00000000e+00   0   1.01139717e-01   1   4.89228348e+00   2   4.89693532e+00   3   4.90351394e+00   4   5.36148516e+00   5   5.36278493e+00   6   
0.00000000e+00   0   8.39228626e-02   1   4.23202492e+00   2   4.23621836e+00   3   4.24174757e+00   4   4.66982202e+00   5   4.67109994e+00   6   
0.00000000e+00   0   7.23917192e-02   1   3.81205034e+00   2   3.81590609e+00   3   3.82068853e+00   4   4.17639944e+00   5   4.17755365e+00   6   
0.00000000e+00   0   6.55873442e-02   1   3.69850172e+00   2   3.70213723e+00   3   3.70528806e+00   4   4.02128411e+00   5   4.02247919e+00   6   
0.00000000e+00   0   6.10208336e-02   1   3.31095724e+00   2   3.31446193e+00   3   3.31827212e+00   4   3.62435019e+00   5   3.62546858e+00   6   
0.00000000e+00   0   5.68660098e-02   1   3.14464330e+00   2   3.14801484e+00   3   3.15150718e+00   4   3.43933900e+00   5   3.44041265e+00   6   
0.00000000e+00   0   5.46174055e-02   1   3.01240275e+00   2   3.01566849e+00   3   3.01895799e+00   4   3.30326155e+00   5   3.30430583e+00   6   
0.00000000e+00   0   4.58192010e-02   1   2.61409613e+00   2   2.61708350e+00   3   2.61942491e+00   4   2.87955562e+00   5   2.88051467e+00   6   
0.00000000e+00   0   4.41980509e-02   1   2.40979446e+00   2   2.41261044e+00   3   2.41436721e+00   4   2.66449507e+00   5   2.66540890e+00   6   
0.00000000e+00   0   3.94254055e-02   1   2.33382474e+00   2   2.33655123e+00   3   2.33819089e+00   4   2.58202082e+00   5   2.58292945e+00   6   
0.00000000e+00   0   3.73861140e-02   1   2.28735466e+00   2   2.29002775e+00   3   2.29154312e+00   4   2.53001851e+00   5   2.53092126e+00   6   
0.00000000e+00   0   3.51029722e-02   1   2.12552824e+00   2   2.12811374e+00   3   2.12962471e+00   4   2.36208860e+00   5   2.36297699e+00   6   
0.00000000e+00   0   3.30501082e-02   1   2.14736970e+00   2   2.14991297e+00   3   2.15139463e+00   4   2.38110456e+00   5   2.38198605e+00   6   
0.00000000e+00   0   3.35597042e-02   1   2.11207437e+00   2   2.11457911e+00   3   2.11605620e+00   4   2.34125506e+00   5   2.34212479e+00   6   
0.00000000e+00   0   3.33247682e-02   1   2.04283488e+00   2   2.04530715e+00   3   2.04676911e+00   4   2.27055857e+00   5   2.27143338e+00   6   
0.00000000e+00   0   3.30009615e-02   1   2.03618737e+00   2   2.03862157e+00   3   2.04007877e+00   4   2.26131691e+00   5   2.26215498e+00   6   
