0.00000000e+00   0   1.60256449e+01   1   6.45112918e+02   2   6.45867857e+02   3   6.64409521e+02   4   8.06152294e+02   5   8.06369779e+02   6   
0.00000000e+00   0   1.28513429e+01   1   5.12793584e+02   2   5.13351325e+02   3   5.96675451e+02   4   6.19961081e+02   5   6.20134614e+02   6   
0.00000000e+00   0   1.00912458e+01   1   4.15752309e+02   2   4.16182860e+02   3   4.73263493e+02   4   4.93063990e+02   5   4.93196123e+02   6   
0.00000000e+00   0   8.28055493e+00   1   3.47316516e+02   2   3.47652167e+02   3   3.87836378e+02   4   4.04983780e+02   5   4.05088961e+02   6   
0.00000000e+00   0   7.17901118e+00   1   2.93290950e+02   2   2.93551332e+02   3   3.23979911e+02   4   3.38196901e+02   5   3.38280443e+02   6   
0.00000000e+00   0   6.21428052e+00   1   2.51085360e+02   2   2.51302957e+02   3   2.75014648e+02   4   2.86925255e+02   5   2.86993938e+02   6   
0.00000000e+00   0   5.49865094e+00   1   2.16707677e+02   2   2.16895233e+02   3   2.36263211e+02   4   2.46394092e+02   5   2.46451800e+02   6   
0.00000000e+00   0   5.05655518e+00   1   1.89234586e+02   2   1.89388559e+02   3   2.05327365e+02   4   2.14044288e+02   5   2.14095428e+02   6   
0.00000000e+00   0   4.53500052e+00   1   1.66977761e+02   2   1.67110653e+02   3   1.80196224e+02   4   1.88001937e+02   5   1.88045549e+02   6   
0.00000000e+00   0   3.79633753e+00   1   1.48427095e+02   2   1.48545620e+02   3   1.59547898e+02   4   1.66455632e+02   5   1.66495076e+02   6   
0.00000000e+00   0   3.41112838e+00   1   1.32571694e+02   2   1.32677663e+02   3   1.42074115e+02   4   1.48310899e+02   5   1.48348393e+02   6   
0.00000000e+00   0   2.72696782e+00   1   1.03516061e+02   2   1.03596989e+02   3   1.10067922e+02   4   1.14973352e+02   5   1.15003565e+02   6   
0.00000000e+00   0   2.17940891e+00   1   8.33993338e+01   2   8.34610419e+01   3   8.80370097e+01   4   9.21201807e+01   5   9.21441519e+01   6   
0.00000000e+00   0   1.80737914e+00   1   6.88837612e+01   2   6.89346126e+01   3   7.22754037e+01   4   7.57130128e+01   5   7.57336572e+01   6   
0.00000000e+00   0   1.58241597e+00   1   5.79409301e+01   2   5.79819834e+01   3   6.04917092e+01   4   6.34940938e+01   5   6.35110494e+01   6   
0.00000000e+00   0   1.38483482e+00   1   5.44583811e+01   2   5.44970711e+01   3   5.67016379e+01   4   5.95611358e+01   5   5.95769391e+01   6   
0.00000000e+00   0   1.37674120e+00   1   5.12357668e+01   2   5.12721381e+01   3   5.32594785e+01   4   5.59708216e+01   5   5.59861706e+01   6   
0.00000000e+00   0   1.14748178e+00   1   4.33154996e+01   2   4.33464739e+01   3   4.47899976e+01   4   4.71624362e+01   5   4.71751955e+01   6   
0.00000000e+00   0   1.01215788e+00   1   3.81999351e+01   2   3.82274357e+01   3   3.93288708e+01   4   4.14997987e+01   5   4.15106309e+01   6   
0.00000000e+00   0   9.18027991e-01   1   3.40550340e+01   2   3.40796101e+01   3   3.49236944e+01   4   3.69146526e+01   5   3.69240374e+01   6   
0.00000000e+00   0   7.12583096e-01   1   2.77836484e+01   2   2.78040256e+01   3   2.82965698e+01   4   3.00032083e+01   5   3.00110415e+01   6   
0.00000000e+00   0   5.97231807e-01   1   2.33782725e+01   2   2.33956809e+01   3   2.34532007e+01   4   2.51804664e+01   5   2.51868105e+01   6   
0.00000000e+00   0   4.46428581e-01   1   1.77097077e+01   2   1.77231485e+01   3   1.77569351e+01   4   1.90158264e+01   5   1.90203421e+01   6   
0.00000000e+00   0   3.64926429e-01   1   1.42299716e+01   2   1.42409788e+01   3   1.42660306e+01   4   1.52688479e+01   5   1.52728929e+01   6   
0.00000000e+00   0   3.04963770e-01   1   1.19407376e+01   2   1.19502010e+01   3   1.19684630e+01   4   1.28211346e+01   5   1.28245226e+01   6   
