0.00000000e+00   0   3.55161532e+02   1   2.24006843e+04   2   2.28912483e+04   3   2.42414203e+04   4   2.43274705e+04   5   2.43275924e+04   6   
0.00000000e+00   0   2.78073530e+02   1   1.72517161e+04   2   1.77082230e+04   3   1.87975421e+04   4   1.88822459e+04   5   1.88823276e+04   6   
0.00000000e+00   0   2.23375130e+02   1   1.35307204e+04   2   1.39359874e+04   3   1.48158306e+04   4   1.48991493e+04   5   1.48992796e+04   6   
0.00000000e+00   0   1.82674304e+02   1   1.07955102e+04   2   1.11315284e+04   3   1.18645719e+04   4   1.19456153e+04   5   1.19457771e+04   6   
0.00000000e+00   0   1.49372772e+02   1   8.74716874e+03   2   9.00910068e+03   3   9.64074455e+03   4   9.72125329e+03   5   9.72143769e+03   6   
0.00000000e+00   0   1.23641179e+02   1   7.15676004e+03   2   7.40624681e+03   3   7.94346339e+03   4   8.02704547e+03   5   8.02721628e+03   6   
0.00000000e+00   0   1.16978603e+02   1   6.63126022e+03   2   6.86960088e+03   3   7.37643023e+03   4   7.45840420e+03   5   7.45858264e+03   6   
0.00000000e+00   0   1.06960478e+02   1   6.16412596e+03   2   6.38584215e+03   3   6.86166207e+03   4   6.94262815e+03   5   6.94280337e+03   6   
0.00000000e+00   0   1.02045775e+02   1   5.72623456e+03   2   5.93538715e+03   3   6.39404265e+03   4   6.47736514e+03   5   6.47754650e+03   6   
0.00000000e+00   0   9.53284969e+01   1   5.33507429e+03   2   5.53194204e+03   3   5.96841029e+03   4   6.05230610e+03   5   6.05246922e+03   6   
0.00000000e+00   0   8.79627604e+01   1   4.96097719e+03   2   5.16840924e+03   3   5.58016821e+03   4   5.66163047e+03   5   5.66179896e+03   6   
0.00000000e+00   0   8.31026293e+01   1   4.63760494e+03   2   4.83207223e+03   3   5.22550388e+03   4   5.31075840e+03   5   5.31093018e+03   6   
0.00000000e+00   0   7.78225459e+01   1   4.34325865e+03   2   4.52719512e+03   3   4.90003345e+03   4   4.98395809e+03   5   4.98414399e+03   6   
0.00000000e+00   0   7.48416345e+01   1   4.05739874e+03   2   4.24768329e+03   3   4.60154015e+03   4   4.68543749e+03   5   4.68562718e+03   6   
0.00000000e+00   0   7.10607786e+01   1   3.81426625e+03   2   3.99216853e+03   3   4.32726974e+03   4   4.41241563e+03   5   4.41260823e+03   6   
0.00000000e+00   0   6.68042318e+01   1   3.58566319e+03   2   3.75509295e+03   3   4.07420763e+03   4   4.15893806e+03   5   4.15914774e+03   6   
0.00000000e+00   0   6.53778640e+01   1   3.36723318e+03   2   3.53485227e+03   3   3.84137534e+03   4   3.92953118e+03   5   3.92975324e+03   6   
0.00000000e+00   0   6.13966956e+01   1   3.17433924e+03   2   3.32543576e+03   3   3.62637808e+03   4   3.71414146e+03   5   3.71438134e+03   6   
0.00000000e+00   0   5.90461587e+01   1   2.98137505e+03   2   3.13921553e+03   3   3.42736856e+03   4   3.51269810e+03   5   3.51292050e+03   6   
0.00000000e+00   0   5.50493973e+01   1   2.81669315e+03   2   2.96718473e+03   3   3.24276393e+03   4   3.33083912e+03   5   3.33108026e+03   6   
0.00000000e+00   0   5.35592228e+01   1   2.66740614e+03   2   2.80824205e+03   3   3.07166798e+03   4   3.16235936e+03   5   3.16262968e+03   6   
0.00000000e+00   0   4.98864743e+01   1   2.51720409e+03   2   2.66077009e+03   3   2.91284403e+03   4   3.00111366e+03   5   3.00138373e+03   6   
0.00000000e+00   0   4.90620550e+01   1   2.37854340e+03   2   2.51707400e+03   3   2.76519471e+03   4   2.85620923e+03   5   2.85650165e+03   6   
0.00000000e+00   0   4.66672166e+01   1   2.25793106e+03   2   2.38855894e+03   3   2.62664651e+03   4   2.71814231e+03   5   2.71841331e+03   6   
0.00000000e+00   0   4.39200225e+01   1   2.13582785e+03   2   2.26738379e+03   3   2.49782012e+03   4   2.59071853e+03   5   2.59100937e+03   6   
0.00000000e+00   0   4.27605609e+01   1   2.02949353e+03   2   2.15744102e+03   3   2.37704313e+03   4   2.47471729e+03   5   2.47502682e+03   6   
0.00000000e+00   0   4.06254812e+01   1   1.92788185e+03   2   2.05256726e+03   3   2.26365453e+03   4   2.36431014e+03   5   2.36467317e+03   6   
0.00000000e+00   0   3.91125827e+01   1   1.83083393e+03   2   1.95515181e+03   3   2.15734162e+03   4   2.26274935e+03   5   2.26310262e+03   6   
0.00000000e+00   0   3.77886288e+01   1   1.74445897e+03   2   1.85851566e+03   3   2.05800850e+03   4   2.16836886e+03   5   2.16863980e+03   6   
0.00000000e+00   0   3.68445375e+01   1   1.65607588e+03   2   1.77288099e+03   3   1.96442349e+03   4   2.07757813e+03   5   2.07786655e+03   6   
0.00000000e+00   0   3.49220592e+01   1   1.57828258e+03   2   1.69336387e+03   3   1.87589765e+03   4   1.99045995e+03   5   1.99075235e+03   6   
0.00000000e+00   0   3.37365816e+01   1   1.50941720e+03   2   1.61810828e+03   3   1.79341596e+03   4   1.91104528e+03   5   1.91129969e+03   6   
0.00000000e+00   0   3.21617242e+01   1   1.44022110e+03   2   1.54598036e+03   3   1.71552345e+03   4   1.83672998e+03   5   1.83700787e+03   6   
0.00000000e+00   0   3.08020992e+01   1   1.37108919e+03   2   1.47914391e+03   3   1.64265561e+03   4   1.76347550e+03   5   1.76375505e+03   6   
0.00000000e+00   0   3.00489950e+01   1   1.31215461e+03   2   1.41366408e+03   3   1.57415768e+03   4   1.69568448e+03   5   1.69594848e+03   6   
0.00000000e+00   0   2.86157941e+01   1   1.25265683e+03   2   1.35405548e+03   3   1.50867800e+03   4   1.62977087e+03   5   1.63000627e+03   6   
0.00000000e+00   0   2.77232534e+01   1   1.20006136e+03   2   1.29613074e+03   3   1.44668253e+03   4   1.56935489e+03   5   1.56957122e+03   6   
0.00000000e+00   0   2.70631392e+01   1   1.14688319e+03   2   1.24376789e+03   3   1.38891761e+03   4   1.51151746e+03   5   1.51175415e+03   6   
0.00000000e+00   0   2.59606234e+01   1   1.09745262e+03   2   1.19249747e+03   3   1.33349472e+03   4   1.45541388e+03   5   1.45560269e+03   6   
0.00000000e+00   0   2.50969569e+01   1   1.05497761e+03   2   1.14575200e+03   3   1.28114042e+03   4   1.40598856e+03   5   1.40619977e+03   6   
0.00000000e+00   0   2.44275929e+01   1   1.01568711e+03   2   1.09826728e+03   3   1.23155894e+03   4   1.35600063e+03   5   1.35618679e+03   6   
0.00000000e+00   0   2.36930830e+01   1   9.76475965e+02   2   1.05630514e+03   3   1.18439870e+03   4   1.31034300e+03   5   1.31053731e+03   6   
0.00000000e+00   0   2.31308990e+01   1   9.39894329e+02   2   1.01615390e+03   3   1.13936674e+03   4   1.26421919e+03   5   1.26439069e+03   6   
0.00000000e+00   0   2.21904390e+01   1   9.21962264e+02   2   9.84580970e+02   3   1.09714803e+03   4   1.22193991e+03   5   1.22210269e+03   6   
0.00000000e+00   0   2.13679341e+01   1   8.89228451e+02   2   9.50099007e+02   3   1.05655118e+03   4   1.18038556e+03   5   1.18055474e+03   6   
0.00000000e+00   0   2.12554338e+01   1   8.59953581e+02   2   9.13889496e+02   3   1.01840647e+03   4   1.14268355e+03   5   1.14282920e+03   6   
0.00000000e+00   0   2.00385510e+01   1   8.30217266e+02   2   8.80156018e+02   3   9.81583580e+02   4   1.10598854e+03   5   1.10612218e+03   6   
0.00000000e+00   0   1.94921114e+01   1   7.99155347e+02   2   8.47795551e+02   3   9.46414847e+02   4   1.07015108e+03   5   1.07029322e+03   6   
0.00000000e+00   0   1.90557898e+01   1   7.74388502e+02   2   8.17613623e+02   3   9.12881506e+02   4   1.03787750e+03   5   1.03800988e+03   6   
0.00000000e+00   0   1.83581886e+01   1   7.48208875e+02   2   7.88821471e+02   3   8.80988124e+02   4   1.00476150e+03   5   1.00488806e+03   6   
0.00000000e+00   0   1.79008245e+01   1   7.27151472e+02   2   7.65471591e+02   3   8.50942245e+02   4   9.76777594e+02   5   9.76892388e+02   6   
0.00000000e+00   0   1.76675846e+01   1   7.03513349e+02   2   7.39433106e+02   3   8.21668358e+02   4   9.45540251e+02   5   9.45652244e+02   6   
0.00000000e+00   0   1.73056660e+01   1   6.80392184e+02   2   7.14017221e+02   3   7.93509817e+02   4   9.18533093e+02   5   9.18640380e+02   6   
0.00000000e+00   0   1.68316606e+01   1   6.62277143e+02   2   6.90965301e+02   3   7.66994857e+02   4   8.90893502e+02   5   8.90988079e+02   6   
0.00000000e+00   0   1.58915552e+01   1   6.41614122e+02   2   6.67745494e+02   3   7.41274339e+02   4   8.64537497e+02   5   8.64625470e+02   6   
0.00000000e+00   0   1.58249632e+01   1   6.23495811e+02   2   6.46651055e+02   3   7.16845760e+02   4   8.38846184e+02   5   8.38925749e+02   6   
0.00000000e+00   0   1.52617110e+01   1   6.05607102e+02   2   6.26830636e+02   3   6.93451240e+02   4   8.13536297e+02   5   8.13604922e+02   6   
0.00000000e+00   0   1.49270789e+01   1   5.88160617e+02   2   6.06449523e+02   3   6.71288254e+02   4   7.90449004e+02   5   7.90522606e+02   6   
0.00000000e+00   0   1.45799411e+01   1   5.72240274e+02   2   5.88181061e+02   3   6.50258064e+02   4   7.67743617e+02   5   7.67821321e+02   6   
0.00000000e+00   0   1.41054396e+01   1   5.56953493e+02   2   5.70743064e+02   3   6.29711632e+02   4   7.45451022e+02   5   7.45546975e+02   6   
0.00000000e+00   0   1.36900879e+01   1   5.42589517e+02   2   5.54561203e+02   3   6.10863792e+02   4   7.25166428e+02   5   7.25265643e+02   6   
0.00000000e+00   0   1.33238104e+01   1   5.29911714e+02   2   5.40517006e+02   3   5.92463689e+02   4   7.05948653e+02   5   7.06044122e+02   6   
0.00000000e+00   0   1.30720926e+01   1   5.15634549e+02   2   5.25070172e+02   3   5.75949532e+02   4   6.86213662e+02   5   6.86304247e+02   6   
0.00000000e+00   0   1.27647474e+01   1   5.04547963e+02   2   5.12973348e+02   3   5.59335265e+02   4   6.67587764e+02   5   6.67669301e+02   6   
0.00000000e+00   0   1.21298795e+01   1   4.92671568e+02   2   4.98937679e+02   3   5.43463486e+02   4   6.50656213e+02   5   6.50728903e+02   6   
0.00000000e+00   0   1.21915249e+01   1   4.80294605e+02   2   4.85766223e+02   3   5.27683035e+02   4   6.32478709e+02   5   6.32547483e+02   6   
0.00000000e+00   0   1.15548490e+01   1   4.69598781e+02   2   4.74302029e+02   3   5.13268600e+02   4   6.17661856e+02   5   6.17726763e+02   6   
0.00000000e+00   0   1.14734998e+01   1   4.58814236e+02   2   4.63304432e+02   3   4.99065055e+02   4   6.00997103e+02   5   6.01049305e+02   6   
0.00000000e+00   0   1.13048954e+01   1   4.48560177e+02   2   4.52109777e+02   3   4.85888292e+02   4   5.86948794e+02   5   5.87004807e+02   6   
0.00000000e+00   0   1.09923471e+01   1   4.38941058e+02   2   4.42011005e+02   3   4.73098571e+02   4   5.71830180e+02   5   5.71879751e+02   6   
0.00000000e+00   0   1.06345489e+01   1   4.29872740e+02   2   4.32666180e+02   3   4.61031070e+02   4   5.59234622e+02   5   5.59280474e+02   6   
0.00000000e+00   0   1.04358867e+01   1   4.20486160e+02   2   4.23054356e+02   3   4.49555107e+02   4   5.44568791e+02   5   5.44612722e+02   6   
0.00000000e+00   0   1.01654161e+01   1   4.11518177e+02   2   4.13759177e+02   3   4.38464139e+02   4   5.32760618e+02   5   5.32801991e+02   6   
0.00000000e+00   0   9.94693055e+00   1   4.03650261e+02   2   4.05485295e+02   3   4.28339969e+02   4   5.20252278e+02   5   5.20293060e+02   6   
0.00000000e+00   0   9.61554353e+00   1   3.95195102e+02   2   3.96842898e+02   3   4.18048225e+02   4   5.08713395e+02   5   5.08748745e+02   6   
0.00000000e+00   0   9.46390311e+00   1   3.87503498e+02   2   3.88995715e+02   3   4.08603083e+02   4   4.96533031e+02   5   4.96569774e+02   6   
0.00000000e+00   0   9.34890344e+00   1   3.80342426e+02   2   3.81656752e+02   3   3.99866755e+02   4   4.85487038e+02   5   4.85521763e+02   6   
0.00000000e+00   0   9.00547943e+00   1   3.72473782e+02   2   3.73719670e+02   3   3.90656041e+02   4   4.75834174e+02   5   4.75868581e+02   6   
0.00000000e+00   0   9.04783945e+00   1   3.65487661e+02   2   3.66638135e+02   3   3.82682385e+02   4   4.65924301e+02   5   4.65958066e+02   6   
0.00000000e+00   0   8.70953042e+00   1   3.58659085e+02   2   3.59689014e+02   3   3.74952973e+02   4   4.55577478e+02   5   4.55611398e+02   6   
0.00000000e+00   0   8.51201997e+00   1   3.51799681e+02   2   3.52751718e+02   3   3.67241993e+02   4   4.45707878e+02   5   4.45742188e+02   6   
0.00000000e+00   0   8.52237090e+00   1   3.46079708e+02   2   3.46919721e+02   3   3.60518556e+02   4   4.35983291e+02   5   4.36015817e+02   6   
0.00000000e+00   0   8.15999034e+00   1   3.39417012e+02   2   3.40229990e+02   3   3.53198096e+02   4   4.27843366e+02   5   4.27874008e+02   6   
0.00000000e+00   0   8.04362379e+00   1   3.33392533e+02   2   3.34171301e+02   3   3.46484659e+02   4   4.18348024e+02   5   4.18380999e+02   6   
0.00000000e+00   0   7.97474656e+00   1   3.27680051e+02   2   3.28397812e+02   3   3.40065294e+02   4   4.10538750e+02   5   4.10571080e+02   6   
0.00000000e+00   0   7.75172231e+00   1   3.21816018e+02   2   3.22504369e+02   3   3.33563205e+02   4   4.02558063e+02   5   4.02590505e+02   6   
0.00000000e+00   0   7.62349566e+00   1   3.16167309e+02   2   3.16764021e+02   3   3.27285651e+02   4   3.93946946e+02   5   3.93976240e+02   6   
0.00000000e+00   0   7.59241564e+00   1   3.10758874e+02   2   3.11404760e+02   3   3.21396432e+02   4   3.86830360e+02   5   3.86859787e+02   6   
0.00000000e+00   0   7.41559291e+00   1   3.05849577e+02   2   3.06449380e+02   3   3.15881100e+02   4   3.79989268e+02   5   3.80017938e+02   6   
0.00000000e+00   0   7.24236616e+00   1   3.00584140e+02   2   3.01089996e+02   3   3.10170214e+02   4   3.72396649e+02   5   3.72427218e+02   6   
0.00000000e+00   0   7.14795531e+00   1   2.95389063e+02   2   2.95929085e+02   3   3.04543570e+02   4   3.66151273e+02   5   3.66180120e+02   6   
0.00000000e+00   0   6.93769471e+00   1   2.90528427e+02   2   2.90985044e+02   3   2.99223195e+02   4   3.58637769e+02   5   3.58667741e+02   6   
0.00000000e+00   0   6.80730727e+00   1   2.86123402e+02   2   2.86606973e+02   3   2.94396168e+02   4   3.52492997e+02   5   3.52522497e+02   6   
0.00000000e+00   0   6.85111022e+00   1   2.81587287e+02   2   2.82048066e+02   3   2.89509473e+02   4   3.46253264e+02   5   3.46283376e+02   6   
0.00000000e+00   0   6.69291936e+00   1   2.76798834e+02   2   2.77212900e+02   3   2.84604086e+02   4   3.39521674e+02   5   3.39546627e+02   6   
0.00000000e+00   0   6.60648435e+00   1   2.72748839e+02   2   2.73138543e+02   3   2.80414599e+02   4   3.34265532e+02   5   3.34292284e+02   6   
0.00000000e+00   0   6.36474888e+00   1   2.68569988e+02   2   2.68946761e+02   3   2.75910928e+02   4   3.28430279e+02   5   3.28457214e+02   6   
0.00000000e+00   0   6.30491306e+00   1   2.64462159e+02   2   2.64821252e+02   3   2.71544597e+02   4   3.22705086e+02   5   3.22732249e+02   6   
0.00000000e+00   0   6.36844005e+00   1   2.60265002e+02   2   2.60609994e+02   3   2.67100069e+02   4   3.17175423e+02   5   3.17202773e+02   6   
0.00000000e+00   0   6.14375316e+00   1   2.56484160e+02   2   2.56814549e+02   3   2.63006900e+02   4   3.11824867e+02   5   3.11852823e+02   6   
0.00000000e+00   0   6.09006950e+00   1   2.52582018e+02   2   2.52899304e+02   3   2.58919333e+02   4   3.07072436e+02   5   3.07098881e+02   6   
0.00000000e+00   0   5.33347020e+00   1   2.18485593e+02   2   2.18711324e+02   3   2.23062097e+02   4   2.61962855e+02   5   2.61984783e+02   6   
0.00000000e+00   0   4.63225698e+00   1   1.91292505e+02   2   1.91454836e+02   3   1.94652977e+02   4   2.26088815e+02   5   2.26110947e+02   6   
0.00000000e+00   0   4.12737115e+00   1   1.68950701e+02   2   1.69090022e+02   3   1.71605533e+02   4   1.98040762e+02   5   1.98061217e+02   6   
0.00000000e+00   0   3.74615386e+00   1   1.50403599e+02   2   1.50509940e+02   3   1.52543001e+02   4   1.75265857e+02   5   1.75283906e+02   6   
0.00000000e+00   0   3.40568284e+00   1   1.34821004e+02   2   1.34904502e+02   3   1.36568521e+02   4   1.55956697e+02   5   1.55970557e+02   6   
0.00000000e+00   0   3.04878582e+00   1   1.21621916e+02   2   1.21692660e+02   3   1.23081529e+02   4   1.39738820e+02   5   1.39751545e+02   6   
0.00000000e+00   0   2.80779546e+00   1   1.10315125e+02   2   1.10372447e+02   3   1.11515808e+02   4   1.26236472e+02   5   1.26247414e+02   6   
0.00000000e+00   0   2.56462912e+00   1   1.00535192e+02   2   1.00585342e+02   3   1.01554641e+02   4   1.14620435e+02   5   1.14630507e+02   6   
0.00000000e+00   0   2.31658351e+00   1   9.20252054e+01   2   9.20700143e+01   3   9.29048892e+01   4   1.04660762e+02   5   1.04669895e+02   6   
0.00000000e+00   0   2.14734331e+00   1   8.45680936e+01   2   8.46055384e+01   3   8.53286827e+01   4   9.58912135e+01   5   9.58999232e+01   6   
0.00000000e+00   0   1.95931180e+00   1   7.80094801e+01   2   7.80409602e+01   3   7.86818808e+01   4   8.81898233e+01   5   8.81980367e+01   6   
0.00000000e+00   0   1.83048202e+00   1   7.22437478e+01   2   7.22718723e+01   3   7.28338385e+01   4   8.15159173e+01   5   8.15236969e+01   6   
0.00000000e+00   0   1.73470943e+00   1   6.71431407e+01   2   6.71697318e+01   3   6.76688335e+01   4   7.56097377e+01   5   7.56171653e+01   6   
0.00000000e+00   0   1.60643838e+00   1   6.25862663e+01   2   6.26081000e+01   3   6.30505023e+01   4   7.03677982e+01   5   7.03747374e+01   6   
0.00000000e+00   0   1.50590858e+00   1   5.85229725e+01   2   5.85433945e+01   3   5.89418577e+01   4   6.57280070e+01   5   6.57344502e+01   6   
0.00000000e+00   0   1.38136648e+00   1   5.48756286e+01   2   5.48928130e+01   3   5.52496992e+01   4   6.15225287e+01   5   6.15287921e+01   6   
0.00000000e+00   0   1.32931592e+00   1   5.15958138e+01   2   5.16119241e+01   3   5.19340256e+01   4   5.77486348e+01   5   5.77552080e+01   6   
0.00000000e+00   0   1.24374885e+00   1   4.86386597e+01   2   4.86524138e+01   3   4.89474396e+01   4   5.43660675e+01   5   5.43722255e+01   6   
0.00000000e+00   0   1.18615616e+00   1   4.59550913e+01   2   4.59683478e+01   3   4.62374826e+01   4   5.13341771e+01   5   5.13402353e+01   6   
0.00000000e+00   0   1.09000561e+00   1   4.35049657e+01   2   4.35174053e+01   3   4.37620939e+01   4   4.85375198e+01   5   4.85412998e+01   6   
0.00000000e+00   0   1.05589937e+00   1   4.12780681e+01   2   4.12899100e+01   3   4.15160558e+01   4   4.59855528e+01   5   4.59911463e+01   6   
0.00000000e+00   0   1.00128126e+00   1   3.92381505e+01   2   3.92494910e+01   3   3.94544801e+01   4   4.36584380e+01   5   4.36631404e+01   6   
0.00000000e+00   0   9.59018583e-01   1   3.73674846e+01   2   3.73768514e+01   3   3.75650525e+01   4   4.15365207e+01   5   4.15408991e+01   6   
0.00000000e+00   0   8.92995619e-01   1   3.56503496e+01   2   3.56592413e+01   3   3.58315863e+01   4   3.95986661e+01   5   3.96028345e+01   6   
0.00000000e+00   0   8.54731315e-01   1   3.40682229e+01   2   3.40768873e+01   3   3.42334362e+01   4   3.78076478e+01   5   3.78116423e+01   6   
0.00000000e+00   0   8.14731037e-01   1   3.25995223e+01   2   3.26078901e+01   3   3.27530232e+01   4   3.61560092e+01   5   3.61597494e+01   6   
0.00000000e+00   0   6.73340547e-01   1   2.67261410e+01   2   2.67325865e+01   3   2.68331059e+01   4   2.95329171e+01   5   2.95360202e+01   6   
0.00000000e+00   0   5.61609357e-01   1   2.25317814e+01   2   2.25380954e+01   3   2.26150975e+01   4   2.46929226e+01   5   2.46955236e+01   6   
