ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
22,714527957446505,0.000000e+00,2.534456e+01,1,0,0.000000e+00,1.831989e+01,1,0,4.900000e+03,4.470000e-01,-1
22,714527957446505,9.873208e+00,7.664278e+00,7,6,9.873208e+00,2.779136e+00,7,5,nan,nan,0
23,167315514671842,0.000000e+00,3.264651e+01,1,0,0.000000e+00,2.776530e+01,1,0,2.810000e+01,3.210000e-02,-1
23,167315514671842,5.088585e+00,1.331788e+01,7,6,5.088585e+00,nan,7,-1,nan,nan,0
24,139681716144960,0.000000e+00,2.451505e+01,1,0,0.000000e+00,4.306896e+00,1,0,2.440000e+03,1.040000e-01,-1
24,139681716144960,1.598834e+02,7.156719e+00,7,6,1.598834e+02,7.666450e-01,7,2,nan,nan,0
25,225682922667723,0.000000e+00,2.438145e+01,1,0,0.000000e+00,6.561856e+00,1,0,1.070000e+02,5.440000e-04,-1
25,225682922667723,7.786260e+00,8.912497e+00,7,6,7.786260e+00,nan,7,-1,nan,nan,0
26,322757565369065,0.000000e+00,2.634855e+01,1,0,0.000000e+00,7.439838e+00,1,0,6.180000e+01,3.390000e-01,-1
26,322757565369065,6.892710e+00,1.780213e+01,7,6,6.892710e+00,nan,7,-1,nan,nan,0
27,878008321229117,0.000000e+00,6.710312e+01,1,0,0.000000e+00,1.963510e+01,1,0,4.970000e+01,2.490000e-01,-1
27,878008321229117,3.665272e+00,1.478461e+01,7,6,3.665272e+00,nan,7,-1,nan,nan,0
28,340799124640228,0.000000e+00,2.783808e+01,1,0,0.000000e+00,3.904904e+00,1,0,1.850000e+03,3.040000e-03,-1
28,340799124640228,1.998931e+02,8.912833e+00,7,6,1.998931e+02,7.416486e-01,7,2,nan,nan,0
29,352996260873617,0.000000e+00,6.863209e+01,1,0,0.000000e+00,1.169420e+01,1,0,6.980000e+03,3.560000e-01,-1
29,352996260873617,1.909971e+01,1.331964e+01,7,6,1.909971e+01,1.235519e+00,7,5,nan,nan,17
30,588610478901111,0.000000e+00,2.213917e+01,1,0,0.000000e+00,1.686270e+01,1,0,2.480000e+04,1.600000e-01,-1
30,588610478901111,1.113522e+01,5.375561e+00,7,6,1.113522e+01,1.605060e+00,7,5,nan,nan,0
31,324974904994926,0.000000e+00,2.356290e+01,1,0,0.000000e+00,1.452077e+01,1,0,8.230000e+02,1.900000e-02,-1
31,324974904994926,1.390587e+01,1.781831e+00,7,5,1.390587e+01,1.235519e+00,7,5,9.288269e+01,1.729117e-01,0
32,190810206518655,0.000000e+00,2.504147e+01,1,0,0.000000e+00,9.559624e+00,1,0,9.620000e+01,3.730000e-02,-1
32,190810206518655,7.600381e+00,1.028183e+01,7,6,7.600381e+00,nan,7,-1,nan,nan,0
33,574966556087015,0.000000e+00,1.457541e+02,1,0,0.000000e+00,2.858883e+01,1,0,2.520000e+02,6.750000e-01,-1
33,574966556087015,5.782639e+00,1.813033e+01,7,6,5.782639e+00,nan,7,-1,nan,nan,13
34,578266476646597,0.000000e+00,2.272541e+01,1,0,0.000000e+00,1.327149e+01,1,0,3.200000e+01,2.640000e-02,-1
34,578266476646597,7.950948e+00,6.100949e+00,7,6,7.950948e+00,nan,7,-1,nan,nan,0
35,839515575033845,0.000000e+00,3.859448e+01,1,0,0.000000e+00,3.740091e+01,1,0,2.620000e+02,4.910000e-04,-1
35,839515575033845,5.184244e+00,nan,7,-1,5.184244e+00,1.459728e+01,7,6,nan,nan,0
36,175837545680910,0.000000e+00,4.636140e+01,1,0,0.000000e+00,1.855258e+01,1,0,2.810000e+01,2.680000e-03,-1
36,175837545680910,4.237917e+00,1.337194e+01,7,6,4.237917e+00,nan,7,-1,nan,nan,0
37,547428918558636,0.000000e+00,4.826135e+01,1,0,0.000000e+00,2.667856e+01,1,0,3.690000e+02,5.220000e-01,-1
37,547428918558636,4.496301e+00,1.335705e+01,7,6,4.496301e+00,nan,7,-1,nan,nan,0
38,453652143782790,0.000000e+00,2.274535e+01,1,0,0.000000e+00,2.131365e+01,1,0,3.930000e+01,1.360000e-01,-1
38,453652143782790,7.640890e+00,1.356257e+01,7,6,7.640890e+00,nan,7,-1,nan,nan,0
39,978237636856366,0.000000e+00,2.355393e+01,1,0,0.000000e+00,2.066758e+01,1,0,1.960000e+02,3.530000e-02,-1
39,978237636856366,8.017448e+00,1.202219e+01,7,6,8.017448e+00,nan,7,-1,nan,nan,0
40,633859952186570,0.000000e+00,2.726181e+01,1,0,0.000000e+00,6.839848e+00,1,0,9.830000e+01,1.890000e-01,-1
40,633859952186570,6.970363e+00,1.098116e+01,7,6,6.970363e+00,nan,7,-1,nan,nan,0
41,461032685622175,0.000000e+00,2.902951e+01,1,0,0.000000e+00,2.245223e+01,1,0,3.380000e+03,5.910000e-01,-1
41,461032685622175,8.332008e+00,2.409941e+00,7,5,8.332008e+00,5.626774e+00,7,6,nan,nan,0
42,266225911719337,0.000000e+00,4.424459e+01,1,0,0.000000e+00,7.074842e+00,1,0,2.910000e+02,2.350000e-01,-1
42,266225911719337,4.746441e+00,6.823297e+00,7,6,4.746441e+00,nan,7,-1,nan,nan,0
43,164332345550726,0.000000e+00,3.814950e+01,1,0,0.000000e+00,1.019356e+01,1,0,2.700000e+02,2.220000e-02,-1
43,164332345550726,5.268967e+00,9.105388e+00,7,6,5.268967e+00,nan,7,-1,nan,nan,0
44,709783254433884,0.000000e+00,5.746613e+01,1,0,0.000000e+00,1.438387e+01,1,0,3.560000e+02,1.150000e-01,-1
44,709783254433884,4.075999e+00,1.847286e+01,7,6,4.075999e+00,nan,7,-1,nan,nan,0
45,180203380529870,0.000000e+00,7.765746e+01,1,0,0.000000e+00,3.031511e+01,1,0,1.570000e+02,7.210000e-02,-1
45,180203380529870,5.489730e+00,1.383683e+01,7,6,5.489730e+00,nan,7,-1,nan,nan,13
46,211616031736781,0.000000e+00,1.075154e+02,1,0,0.000000e+00,3.788471e+01,1,0,5.320000e+02,2.000000e-03,-1
46,211616031736781,5.224686e+00,1.582523e+01,7,6,5.224686e+00,4.733123e+00,7,6,nan,nan,17
47,170027684276066,0.000000e+00,2.382013e+01,1,0,0.000000e+00,4.774887e+00,1,0,4.790000e+01,4.380000e-02,-1
47,170027684276066,7.945463e+00,7.954039e+00,7,6,7.945463e+00,nan,7,-1,nan,nan,0
48,657984861342197,0.000000e+00,4.190297e+01,1,0,0.000000e+00,1.930455e+01,1,0,1.640000e+04,1.220000e-01,-1
48,657984861342197,9.431342e+00,4.808887e+00,7,6,9.431342e+00,2.894886e+00,7,5,nan,nan,0
49,644761901706395,0.000000e+00,3.181230e+01,1,0,0.000000e+00,1.650514e+01,1,0,3.040000e+02,4.130000e-01,-1
49,644761901706395,5.983373e+00,1.354082e+01,7,6,5.983373e+00,nan,7,-1,nan,nan,0
50,774910676153512,0.000000e+00,1.081542e+02,1,0,0.000000e+00,6.490615e+01,1,0,4.120000e+02,6.040000e-01,-1
50,774910676153512,3.843099e+00,1.601978e+01,7,6,3.843099e+00,1.350919e+01,7,6,1.351838e+03,1.693252e-02,0
51,879889006151667,0.000000e+00,7.660833e+01,1,0,0.000000e+00,2.701256e+01,1,0,6.710000e+02,2.270000e-01,-1
51,879889006151667,7.032454e+00,1.373054e+01,7,6,7.032454e+00,2.137652e+00,7,5,nan,nan,17
52,533885767174787,0.000000e+00,4.817282e+01,1,0,0.000000e+00,4.192088e+01,1,0,4.350000e+01,1.270000e-01,-1
52,533885767174787,4.088947e+00,1.604082e+01,7,6,4.088947e+00,nan,7,-1,nan,nan,0
53,496775690271725,0.000000e+00,2.480318e+01,1,0,0.000000e+00,1.115633e+01,1,0,2.310000e+01,3.010000e-02,-1
53,496775690271725,7.040155e+00,5.817368e+00,7,6,7.040155e+00,nan,7,-1,nan,nan,0
54,627584515159113,0.000000e+00,2.311225e+01,1,0,0.000000e+00,1.444982e+01,1,0,1.430000e+02,4.520000e-01,-1
54,627584515159113,8.144271e+00,9.867114e+00,7,6,8.144271e+00,nan,7,-1,nan,nan,0
55,940199229052227,0.000000e+00,6.514960e+01,1,0,0.000000e+00,1.779358e+01,1,0,1.570000e+03,1.020000e-01,-1
55,940199229052227,1.036521e+01,1.343019e+01,7,6,1.036521e+01,1.922630e+00,7,5,nan,nan,17
56,297692169971230,0.000000e+00,3.056497e+01,1,0,0.000000e+00,3.513911e+00,1,0,3.880000e+04,7.370000e-01,-1
