0.00000000e+00   0   1.48323580e+01   1   7.12321063e+02   2   7.12362920e+02   3   7.24110094e+02   4   8.59208096e+02   5   8.59385934e+02   6   
0.00000000e+00   0   8.84030611e+00   1   4.55687933e+02   2   4.55713075e+02   3   4.60517855e+02   4   5.27275201e+02   5   5.27383192e+02   6   
0.00000000e+00   0   5.92354800e+00   1   3.16129790e+02   2   3.16146873e+02   3   3.18765569e+02   4   3.57886916e+02   5   3.57951275e+02   6   
0.00000000e+00   0   4.12708987e+00   1   2.32365295e+02   2   2.32376108e+02   3   2.34012688e+02   4   2.60089713e+02   5   2.60138534e+02   6   
0.00000000e+00   0   3.14456402e+00   1   1.78159640e+02   2   1.78167684e+02   3   1.79266639e+02   4   1.97997948e+02   5   1.98035687e+02   6   
0.00000000e+00   0   2.52738371e+00   1   1.41207754e+02   2   1.41214187e+02   3   1.42012091e+02   4   1.56114832e+02   5   1.56144517e+02   6   
0.00000000e+00   0   2.05900368e+00   1   1.15036506e+02   2   1.15041058e+02   3   1.15634752e+02   4   1.26676820e+02   5   1.26700624e+02   6   
0.00000000e+00   0   1.62767899e+00   1   9.58871695e+01   2   9.58905078e+01   3   9.63354301e+01   4   1.05068200e+02   5   1.05089005e+02   6   
0.00000000e+00   0   1.34499462e+00   1   8.12568633e+01   2   8.12596786e+01   3   8.16090221e+01   4   8.87767570e+01   5   8.87937579e+01   6   
0.00000000e+00   0   1.23514617e+00   1   6.98826058e+01   2   6.98850307e+01   3   7.01672278e+01   4   7.61762859e+01   5   7.61910027e+01   6   
0.00000000e+00   0   9.96782199e-01   1   6.08386915e+01   2   6.08407488e+01   3   6.10738597e+01   4   6.62181670e+01   5   6.62305669e+01   6   
0.00000000e+00   0   9.09877212e-01   1   5.36394872e+01   2   5.36410859e+01   3   5.38345495e+01   4   5.82758968e+01   5   5.82868040e+01   6   
0.00000000e+00   0   7.93668058e-01   1   4.77773775e+01   2   4.77787885e+01   3   4.79390890e+01   4   5.18166957e+01   5   5.18264204e+01   6   
0.00000000e+00   0   7.03033522e-01   1   4.29358865e+01   2   4.29371573e+01   3   4.30720103e+01   4   4.64989976e+01   5   4.65078524e+01   6   
0.00000000e+00   0   6.50582004e-01   1   3.88664500e+01   2   3.88674727e+01   3   3.89831226e+01   4   4.20329617e+01   5   4.20410974e+01   6   
0.00000000e+00   0   5.84056287e-01   1   3.54405198e+01   2   3.54414564e+01   3   3.55413411e+01   4   3.82771401e+01   5   3.82847937e+01   6   
