0.00000000e+00   0   2.28278777e+01   1   9.34807649e+02   2   9.35733394e+02   3   9.65248454e+02   4   1.20831987e+03   5   1.20887090e+03   6   
0.00000000e+00   0   1.78405257e+01   1   7.18642351e+02   2   7.19349262e+02   3   7.37215591e+02   4   9.24117227e+02   5   9.24566270e+02   6   
0.00000000e+00   0   1.47795317e+01   1   5.73909658e+02   2   5.74448282e+02   3   5.85983833e+02   4   7.23456800e+02   5   7.23798471e+02   6   
0.00000000e+00   0   1.16643033e+01   1   4.68588464e+02   2   4.69014162e+02   3   4.77063338e+02   4   5.77604253e+02   5   5.77863086e+02   6   
0.00000000e+00   0   1.02667278e+01   1   3.86117429e+02   2   3.86464414e+02   3   3.92491485e+02   4   4.68055914e+02   5   4.68255890e+02   6   
0.00000000e+00   0   8.90119745e+00   1   3.25499830e+02   2   3.25774699e+02   3   3.30269234e+02   4   3.86801367e+02   5   3.86951905e+02   6   
0.00000000e+00   0   7.45053785e+00   1   2.75753884e+02   2   2.75986289e+02   3   2.79533932e+02   4   3.24186125e+02   5   3.24305381e+02   6   
0.00000000e+00   0   6.44371245e+00   1   2.38225378e+02   2   2.38415828e+02   3   2.41240113e+02   4   2.76455491e+02   5   2.76550950e+02   6   
0.00000000e+00   0   5.36609497e+00   1   2.06460474e+02   2   2.06623525e+02   3   2.08950217e+02   4   2.37566577e+02   5   2.37645127e+02   6   
0.00000000e+00   0   5.05925681e+00   1   1.80958670e+02   2   1.81102357e+02   3   1.82983006e+02   4   2.06970489e+02   5   2.07035475e+02   6   
0.00000000e+00   0   4.11605769e+00   1   1.59713300e+02   2   1.59835393e+02   3   1.61421909e+02   4   1.81685682e+02   5   1.81741433e+02   6   
0.00000000e+00   0   3.64383319e+00   1   1.28708334e+02   2   1.28812416e+02   3   1.30163969e+02   4   1.46447606e+02   5   1.46495126e+02   6   
0.00000000e+00   0   3.06054207e+00   1   1.14961767e+02   2   1.15052535e+02   3   1.16199860e+02   4   1.30383057e+02   5   1.30423345e+02   6   
0.00000000e+00   0   3.32029723e+00   1   1.21264232e+02   2   1.21356412e+02   3   1.22425628e+02   4   1.36392510e+02   5   1.36430462e+02   6   
0.00000000e+00   0   2.74302558e+00   1   1.03423498e+02   2   1.03505386e+02   3   1.04522023e+02   4   1.16940671e+02   5   1.16976922e+02   6   
0.00000000e+00   0   2.71848117e+00   1   9.41498902e+01   2   9.42225654e+01   3   9.50848325e+01   4   1.05913220e+02   5   1.05945708e+02   6   
0.00000000e+00   0   2.54141000e+00   1   9.51194840e+01   2   9.51895909e+01   3   9.59477470e+01   4   1.06347362e+02   5   1.06378484e+02   6   
0.00000000e+00   0   2.15263263e+00   1   7.88382219e+01   2   7.88971352e+01   3   7.95491664e+01   4   8.82115722e+01   5   8.82384935e+01   6   
0.00000000e+00   0   1.96720383e+00   1   7.23134391e+01   2   7.23674760e+01   3   7.29575651e+01   4   8.07175717e+01   5   8.07420241e+01   6   
0.00000000e+00   0   2.16094440e+00   1   7.70098161e+01   2   7.70659388e+01   3   7.76125655e+01   4   8.55161614e+01   5   8.55396398e+01   6   
0.00000000e+00   0   1.77726066e+00   1   6.64604681e+01   2   6.65108270e+01   3   6.70298787e+01   4   7.41159122e+01   5   7.41387844e+01   6   
0.00000000e+00   0   1.71585159e+00   1   6.15352441e+01   2   6.15824737e+01   3   6.20408482e+01   4   6.85777375e+01   5   6.85974647e+01   6   
0.00000000e+00   0   1.66025398e+00   1   6.36966924e+01   2   6.37410992e+01   3   6.41469946e+01   4   7.04613901e+01   5   7.04815473e+01   6   
0.00000000e+00   0   1.56989544e+00   1   5.93125712e+01   2   5.93546966e+01   3   5.97230960e+01   4   6.55866274e+01   5   6.56045398e+01   6   
0.00000000e+00   0   1.47416316e+00   1   5.54337782e+01   2   5.54734097e+01   3   5.58060779e+01   4   6.11899951e+01   5   6.12072958e+01   6   
0.00000000e+00   0   1.46862593e+00   1   5.38004941e+01   2   5.38387470e+01   3   5.41570882e+01   4   5.93154756e+01   5   5.93321608e+01   6   
0.00000000e+00   0   1.32852844e+00   1   4.72302734e+01   2   4.72660598e+01   3   4.75672502e+01   4   5.22178203e+01   5   5.22331623e+01   6   
0.00000000e+00   0   1.16692389e+00   1   4.43858444e+01   2   4.44182410e+01   3   4.46928686e+01   4   4.90370115e+01   5   4.90511901e+01   6   
0.00000000e+00   0   1.03310219e+00   1   3.97374919e+01   2   3.97668668e+01   3   3.99954690e+01   4   4.37519468e+01   5   4.37641693e+01   6   
0.00000000e+00   0   1.02080580e+00   1   3.75994192e+01   2   3.76270374e+01   3   3.78370179e+01   4   4.13544284e+01   5   4.13661315e+01   6   
0.00000000e+00   0   9.60742537e-01   1   3.58606554e+01   2   3.58869934e+01   3   3.60762999e+01   4   3.93764741e+01   5   3.93877116e+01   6   
0.00000000e+00   0   8.78528734e-01   1   3.39137861e+01   2   3.39392290e+01   3   3.41149938e+01   4   3.72090869e+01   5   3.72196578e+01   6   
0.00000000e+00   0   8.49106407e-01   1   3.08995695e+01   2   3.09223924e+01   3   3.10743371e+01   4   3.38139632e+01   5   3.38241012e+01   6   
0.00000000e+00   0   7.95793323e-01   1   2.95839671e+01   2   2.96060585e+01   3   2.97439978e+01   4   3.23715305e+01   5   3.23805083e+01   6   
0.00000000e+00   0   7.07247288e-01   1   2.83078301e+01   2   2.83290460e+01   3   2.84609322e+01   4   3.09391498e+01   5   3.09498589e+01   6   
0.00000000e+00   0   6.83896410e-01   1   2.70495560e+01   2   2.70701360e+01   3   2.71936994e+01   4   2.95481439e+01   5   2.95580648e+01   6   
0.00000000e+00   0   6.66462162e-01   1   2.51051521e+01   2   2.51241461e+01   3   2.52304014e+01   4   2.73561393e+01   5   2.73651903e+01   6   
0.00000000e+00   0   5.84872841e-01   1   2.40284004e+01   2   2.40468119e+01   3   2.41475367e+01   4   2.61881761e+01   5   2.61966880e+01   6   
0.00000000e+00   0   5.69569589e-01   1   2.32948993e+01   2   2.33125355e+01   3   2.34065420e+01   4   2.53679034e+01   5   2.53760899e+01   6   
0.00000000e+00   0   5.44558434e-01   1   2.24102327e+01   2   2.24274819e+01   3   2.25158606e+01   4   2.43964806e+01   5   2.44039389e+01   6   
0.00000000e+00   0   4.52587689e-01   1   1.84699072e+01   2   1.84843362e+01   3   1.85505405e+01   4   2.00322305e+01   5   2.00377744e+01   6   
0.00000000e+00   0   4.54937276e-01   1   1.76527302e+01   2   1.76659160e+01   3   1.77197432e+01   4   1.91068420e+01   5   1.91117646e+01   6   
0.00000000e+00   0   3.52762938e-01   1   1.40720771e+01   2   1.40828415e+01   3   1.41226276e+01   4   1.51955498e+01   5   1.51995920e+01   6   
0.00000000e+00   0   2.80541571e-01   1   1.17549829e+01   2   1.17642294e+01   3   1.17959587e+01   4   1.26703208e+01   5   1.26738344e+01   6   
0.00000000e+00   0   2.35763878e-01   1   1.01618590e+01   2   1.01701542e+01   3   1.01957389e+01   4   1.09624992e+01   5   1.09654818e+01   6   
0.00000000e+00   0   2.08230370e-01   1   8.99671651e+00   2   9.00414541e+00   3   9.02663397e+00   4   9.70683815e+00   5   9.70955585e+00   6   
0.00000000e+00   0   1.81649948e-01   1   7.54779987e+00   2   7.55484424e+00   3   7.57604860e+00   4   8.13600724e+00   5   8.13826600e+00   6   
0.00000000e+00   0   1.65424870e-01   1   6.92046971e+00   2   6.92699253e+00   3   6.94516112e+00   4   7.46266626e+00   5   7.46471494e+00   6   
0.00000000e+00   0   1.63027479e-01   1   7.13432450e+00   2   7.14067811e+00   3   7.15894284e+00   4   7.70244951e+00   5   7.70459197e+00   6   
0.00000000e+00   0   1.51832302e-01   1   6.38819766e+00   2   6.39429554e+00   3   6.41121669e+00   4   6.88968267e+00   5   6.89164653e+00   6   
0.00000000e+00   0   1.41180054e-01   1   6.00878597e+00   2   6.01501677e+00   3   6.02996915e+00   4   6.48021109e+00   5   6.48198509e+00   6   
0.00000000e+00   0   1.36942081e-01   1   6.05308506e+00   2   6.05864545e+00   3   6.07361737e+00   4   6.54203241e+00   5   6.54388737e+00   6   
0.00000000e+00   0   1.06877733e-01   1   5.34923101e+00   2   5.35427334e+00   3   5.36789072e+00   4   5.78827512e+00   5   5.78998346e+00   6   
0.00000000e+00   0   9.77005411e-02   1   4.85344567e+00   2   4.85812571e+00   3   4.87037252e+00   4   5.36398851e+00   5   5.36531061e+00   6   
0.00000000e+00   0   9.17148892e-02   1   4.21646860e+00   2   4.22067746e+00   3   4.23265680e+00   4   4.58187636e+00   5   4.58339248e+00   6   
0.00000000e+00   0   7.94819653e-02   1   3.80148525e+00   2   3.80543889e+00   3   3.81623868e+00   4   4.14701041e+00   5   4.14860148e+00   6   
0.00000000e+00   0   7.30364607e-02   1   3.51709738e+00   2   3.52082302e+00   3   3.52979133e+00   4   3.84763642e+00   5   3.84932884e+00   6   
0.00000000e+00   0   5.99591971e-02   1   3.29552957e+00   2   3.29904846e+00   3   3.30918439e+00   4   3.61410927e+00   5   3.61526023e+00   6   
0.00000000e+00   0   5.75849193e-02   1   3.13130018e+00   2   3.13468266e+00   3   3.14271212e+00   4   3.42872133e+00   5   3.42979473e+00   6   
0.00000000e+00   0   5.57827647e-02   1   3.00659928e+00   2   3.00996636e+00   3   3.01804339e+00   4   3.30402764e+00   5   3.30561300e+00   6   
0.00000000e+00   0   4.37536757e-02   1   2.60971265e+00   2   2.61274950e+00   3   2.61967413e+00   4   2.88277929e+00   5   2.88378324e+00   6   
0.00000000e+00   0   4.14830515e-02   1   2.54530079e+00   2   2.54817657e+00   3   2.55472912e+00   4   2.80890635e+00   5   2.80986860e+00   6   
0.00000000e+00   0   3.86320097e-02   1   2.27979807e+00   2   2.28255411e+00   3   2.28879024e+00   4   2.53265592e+00   5   2.53359249e+00   6   
0.00000000e+00   0   3.70161583e-02   1   2.30151223e+00   2   2.30419041e+00   3   2.31021975e+00   4   2.54819172e+00   5   2.54910195e+00   6   
0.00000000e+00   0   3.41355974e-02   1   2.27114983e+00   2   2.27377420e+00   3   2.28040797e+00   4   2.51298809e+00   5   2.51389715e+00   6   
0.00000000e+00   0   3.34313164e-02   1   2.10966234e+00   2   2.11227082e+00   3   2.11813850e+00   4   2.34931779e+00   5   2.35022084e+00   6   
0.00000000e+00   0   3.20408628e-02   1   2.03982337e+00   2   2.04238984e+00   3   2.04815320e+00   4   2.27614572e+00   5   2.27701539e+00   6   
0.00000000e+00   0   3.35743033e-02   1   2.04633705e+00   2   2.04885266e+00   3   2.05461083e+00   4   2.27969401e+00   5   2.28058233e+00   6   
0.00000000e+00   0   3.02153016e-02   1   2.05123402e+00   2   2.05371869e+00   3   2.05974473e+00   4   2.28183256e+00   5   2.28271565e+00   6   
0.00000000e+00   0   3.10219340e-02   1   2.02775059e+00   2   2.03022357e+00   3   2.03581933e+00   4   2.25669900e+00   5   2.25758104e+00   6   
