#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
200        883685317901255      24.851             0.02               0.0                delayed            zams               13.082             0.02               0.0                delayed            zams               64.1               0.577              end                end            350051342359003  
201        868756116459079      132.586            0.02               0.0                delayed            zams               30.914             0.02               0.0                delayed            zams               7.77e+03           0.983              end                end            248650558301377  
202        788544547936215      32.305             0.02               0.0                delayed            zams               12.257             0.02               0.0                delayed            zams               1.83e+04           0.0599             end                end            315901191687174  
203        409643725701205      24.652             0.02               0.0                delayed            zams               14.866             0.02               0.0                delayed            zams               107                0.0608             end                end            86694534331791   
204        119786374207917      36.084             0.02               0.0                delayed            zams               34.228             0.02               0.0                delayed            zams               451                0.307              end                end            411389155282229  
205        582975958094083      23.341             0.02               0.0                delayed            zams               13.235             0.02               0.0                delayed            zams               3.92e+03           0.157              end                end            527872808363097  
206        635276307240029      23.092             0.02               0.0                delayed            zams               2.427              0.02               0.0                delayed            zams               9.64e+03           0.66               end                end            397889868960475  
207        933000856621994      33.507             0.02               0.0                delayed            zams               26.767             0.02               0.0                delayed            zams               38.7               0.205              end                end            467703247410129  
208        956877698224711      30.247             0.02               0.0                delayed            zams               17.197             0.02               0.0                delayed            zams               24.7               9.26e-05           end                end            86985044448783   
209        898576117917324      35.226             0.02               0.0                delayed            zams               15.173             0.02               0.0                delayed            zams               275                0.181              end                end            685707213738190  
210        906051266622638      23.203             0.02               0.0                delayed            zams               20.020             0.02               0.0                delayed            zams               680                0.885              end                end            217706873538246  
211        369158261011643      35.197             0.02               0.0                delayed            zams               22.027             0.02               0.0                delayed            zams               194                0.000283           end                end            508991526493862  
212        754957295747073      32.116             0.02               0.0                delayed            zams               26.653             0.02               0.0                delayed            zams               46.1               0.00676            end                end            687113887139564  
213        278022870971351      25.468             0.02               0.0                delayed            zams               19.254             0.02               0.0                delayed            zams               206                0.652              end                end            529912392478581  
214        362924202764723      65.808             0.02               0.0                delayed            zams               62.609             0.02               0.0                delayed            zams               113                0.0854             end                end            997314259505007  
215        110428992008741      82.658             0.02               0.0                delayed            zams               45.573             0.02               0.0                delayed            zams               63.5               0.0433             end                end            881684452215162  
216        635189319691728      45.678             0.02               0.0                delayed            zams               22.197             0.02               0.0                delayed            zams               2.67e+03           0.0976             end                end            462003794284984  
217        880207136183115      22.110             0.02               0.0                delayed            zams               11.516             0.02               0.0                delayed            zams               7.04e+03           0.075              end                end            434706298504598  
218        662420914953206      25.264             0.02               0.0                delayed            zams               19.524             0.02               0.0                delayed            zams               9.23e+03           0.117              end                end            525928414873942  
219        739997091328840      144.509            0.02               0.0                delayed            zams               84.620             0.02               0.0                delayed            zams               54.5               2.84e-06           end                end            38889769948885   
220        859991812484221      47.850             0.02               0.0                delayed            zams               13.618             0.02               0.0                delayed            zams               36.8               0.0254             end                end            677984866427963  
