ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
22,582653506071156,0.000000e+00,2.534456e+01,1,0,0.000000e+00,1.831989e+01,1,0,4.900000e+03,4.470000e-01,-1
22,582653506071156,9.873208e+00,7.664278e+00,7,6,9.873208e+00,2.779136e+00,7,5,nan,nan,0
23,819635265633917,0.000000e+00,3.264651e+01,1,0,0.000000e+00,2.776530e+01,1,0,2.810000e+01,3.210000e-02,-1
23,819635265633917,5.088585e+00,1.331788e+01,7,6,5.088585e+00,nan,7,-1,nan,nan,0
24,542033094886450,0.000000e+00,2.451505e+01,1,0,0.000000e+00,4.306896e+00,1,0,2.440000e+03,1.040000e-01,-1
24,542033094886450,1.598834e+02,7.156719e+00,7,6,1.598834e+02,7.666450e-01,7,2,nan,nan,0
25,983564577538472,0.000000e+00,2.438145e+01,1,0,0.000000e+00,6.561856e+00,1,0,1.070000e+02,5.440000e-04,-1
25,983564577538472,7.786260e+00,8.912497e+00,7,6,7.786260e+00,nan,7,-1,nan,nan,0
26,637585283516039,0.000000e+00,2.634855e+01,1,0,0.000000e+00,7.439838e+00,1,0,6.180000e+01,3.390000e-01,-1
26,637585283516039,6.892710e+00,1.780213e+01,7,6,6.892710e+00,nan,7,-1,nan,nan,0
27,917158568673143,0.000000e+00,6.710312e+01,1,0,0.000000e+00,1.963510e+01,1,0,4.970000e+01,2.490000e-01,-1
27,917158568673143,3.665272e+00,1.478461e+01,7,6,3.665272e+00,nan,7,-1,nan,nan,0
28,699025621317756,0.000000e+00,2.783808e+01,1,0,0.000000e+00,3.904904e+00,1,0,1.850000e+03,3.040000e-03,-1
28,699025621317756,1.998931e+02,8.912833e+00,7,6,1.998931e+02,7.416486e-01,7,2,nan,nan,0
29,237104249393636,0.000000e+00,6.863209e+01,1,0,0.000000e+00,1.169420e+01,1,0,6.980000e+03,3.560000e-01,-1
29,237104249393636,1.909971e+01,1.331963e+01,7,6,1.909971e+01,1.235519e+00,7,5,nan,nan,17
30,470608556991305,0.000000e+00,2.213917e+01,1,0,0.000000e+00,1.686270e+01,1,0,2.480000e+04,1.600000e-01,-1
30,470608556991305,1.113522e+01,5.375561e+00,7,6,1.113522e+01,1.605060e+00,7,5,nan,nan,0
31,611480766077876,0.000000e+00,2.356290e+01,1,0,0.000000e+00,1.452077e+01,1,0,8.230000e+02,1.900000e-02,-1
31,611480766077876,1.245258e+01,1.781684e+00,7,5,1.245258e+01,nan,7,-1,nan,nan,13
32,598029762468025,0.000000e+00,2.504147e+01,1,0,0.000000e+00,9.559624e+00,1,0,9.620000e+01,3.730000e-02,-1
32,598029762468025,7.600381e+00,1.028183e+01,7,6,7.600381e+00,nan,7,-1,nan,nan,0
33,650111955059344,0.000000e+00,1.457541e+02,1,0,0.000000e+00,2.858883e+01,1,0,2.520000e+02,6.750000e-01,-1
33,650111955059344,5.782639e+00,1.813033e+01,7,6,5.782639e+00,nan,7,-1,nan,nan,13
34,612028955909796,0.000000e+00,2.272541e+01,1,0,0.000000e+00,1.327149e+01,1,0,3.200000e+01,2.640000e-02,-1
34,612028955909796,7.950948e+00,6.100949e+00,7,6,7.950948e+00,nan,7,-1,nan,nan,0
35,939218530461557,0.000000e+00,3.859448e+01,1,0,0.000000e+00,3.740091e+01,1,0,2.620000e+02,4.910000e-04,-1
35,939218530461557,5.184244e+00,nan,7,-1,5.184244e+00,1.459728e+01,7,6,nan,nan,0
36,488617164624101,0.000000e+00,4.636140e+01,1,0,0.000000e+00,1.855258e+01,1,0,2.810000e+01,2.680000e-03,-1
36,488617164624101,4.237917e+00,1.337194e+01,7,6,4.237917e+00,nan,7,-1,nan,nan,0
37,576519696550013,0.000000e+00,4.826135e+01,1,0,0.000000e+00,2.667856e+01,1,0,3.690000e+02,5.220000e-01,-1
37,576519696550013,4.496301e+00,1.335705e+01,7,6,4.496301e+00,nan,7,-1,nan,nan,0
38,471833689053180,0.000000e+00,2.274535e+01,1,0,0.000000e+00,2.131365e+01,1,0,3.930000e+01,1.360000e-01,-1
38,471833689053180,7.640890e+00,1.356257e+01,7,6,7.640890e+00,nan,7,-1,nan,nan,0
39,283840359782856,0.000000e+00,2.355393e+01,1,0,0.000000e+00,2.066758e+01,1,0,1.960000e+02,3.530000e-02,-1
39,283840359782856,8.017448e+00,1.202219e+01,7,6,8.017448e+00,nan,7,-1,nan,nan,0
40,162994759245156,0.000000e+00,2.726181e+01,1,0,0.000000e+00,6.839848e+00,1,0,9.830000e+01,1.890000e-01,-1
40,162994759245156,6.970363e+00,1.098116e+01,7,6,6.970363e+00,nan,7,-1,nan,nan,0
41,988237324295215,0.000000e+00,2.902951e+01,1,0,0.000000e+00,2.245223e+01,1,0,3.380000e+03,5.910000e-01,-1
41,988237324295215,8.332008e+00,2.409941e+00,7,5,8.332008e+00,5.626774e+00,7,6,nan,nan,0
42,619837432969257,0.000000e+00,4.424459e+01,1,0,0.000000e+00,7.074842e+00,1,0,2.910000e+02,2.350000e-01,-1
42,619837432969257,4.746441e+00,6.823297e+00,7,6,4.746441e+00,nan,7,-1,nan,nan,0
43,359158389596287,0.000000e+00,3.814950e+01,1,0,0.000000e+00,1.019356e+01,1,0,2.700000e+02,2.220000e-02,-1
43,359158389596287,5.268967e+00,9.105388e+00,7,6,5.268967e+00,nan,7,-1,nan,nan,0
44,241451206819128,0.000000e+00,5.746613e+01,1,0,0.000000e+00,1.438387e+01,1,0,3.560000e+02,1.150000e-01,-1
44,241451206819128,4.075999e+00,1.847286e+01,7,6,4.075999e+00,nan,7,-1,nan,nan,0
45,914401124293176,0.000000e+00,7.765746e+01,1,0,0.000000e+00,3.031511e+01,1,0,1.570000e+02,7.210000e-02,-1
45,914401124293176,5.489730e+00,1.383683e+01,7,6,5.489730e+00,nan,7,-1,nan,nan,13
46,713587200961892,0.000000e+00,1.075154e+02,1,0,0.000000e+00,3.788471e+01,1,0,5.320000e+02,2.000000e-03,-1
46,713587200961892,5.224686e+00,1.582523e+01,7,6,5.224686e+00,4.733123e+00,7,6,nan,nan,17
47,669298598956429,0.000000e+00,2.382013e+01,1,0,0.000000e+00,4.774887e+00,1,0,4.790000e+01,4.380000e-02,-1
47,669298598956429,7.945463e+00,7.954039e+00,7,6,7.945463e+00,nan,7,-1,nan,nan,0
48,284251275165057,0.000000e+00,4.190297e+01,1,0,0.000000e+00,1.930455e+01,1,0,1.640000e+04,1.220000e-01,-1
48,284251275165057,9.431342e+00,4.808887e+00,7,6,9.431342e+00,2.894886e+00,7,5,nan,nan,0
49,519534255519435,0.000000e+00,3.181230e+01,1,0,0.000000e+00,1.650514e+01,1,0,3.040000e+02,4.130000e-01,-1
49,519534255519435,5.983373e+00,1.354082e+01,7,6,5.983373e+00,nan,7,-1,nan,nan,0
50,461230875959397,0.000000e+00,1.081542e+02,1,0,0.000000e+00,6.490615e+01,1,0,4.120000e+02,6.040000e-01,-1
50,461230875959397,3.843099e+00,1.601978e+01,7,6,3.843099e+00,1.350919e+01,7,6,1.351842e+03,1.693252e-02,0
51,841809640564343,0.000000e+00,7.660833e+01,1,0,0.000000e+00,2.701256e+01,1,0,6.710000e+02,2.270000e-01,-1
51,841809640564343,7.032452e+00,1.373052e+01,7,6,7.032452e+00,2.137689e+00,7,5,nan,nan,17
52,576689310862596,0.000000e+00,4.817282e+01,1,0,0.000000e+00,4.192088e+01,1,0,4.350000e+01,1.270000e-01,-1
52,576689310862596,4.088947e+00,1.604082e+01,7,6,4.088947e+00,nan,7,-1,nan,nan,0
53,489003845194585,0.000000e+00,2.480318e+01,1,0,0.000000e+00,1.115633e+01,1,0,2.310000e+01,3.010000e-02,-1
53,489003845194585,7.040155e+00,5.817368e+00,7,6,7.040155e+00,nan,7,-1,nan,nan,0
54,567902575275549,0.000000e+00,2.311225e+01,1,0,0.000000e+00,1.444982e+01,1,0,1.430000e+02,4.520000e-01,-1
54,567902575275549,8.144271e+00,9.867114e+00,7,6,8.144271e+00,nan,7,-1,nan,nan,0
55,734457891403342,0.000000e+00,6.514960e+01,1,0,0.000000e+00,1.779358e+01,1,0,1.570000e+03,1.020000e-01,-1
55,734457891403342,1.036521e+01,1.343029e+01,7,6,1.036521e+01,1.922630e+00,7,5,nan,nan,17
56,291630568975802,0.000000e+00,3.056497e+01,1,0,0.000000e+00,3.513911e+00,1,0,3.880000e+04,7.370000e-01,-1
56,291630568975802,2.945548e+02,9.243587e+00,7,6,2.945548e+02,6.735952e-01,7,2,nan,nan,0
57,102500445402075,0.000000e+00,3.087158e+01,1,0,0.000000e+00,2.231365e+01,1,0,4.690000e+03,4.390000e-01,-1
57,102500445402075,8.295884e+00,9.063730e+00,7,6,8.295884e+00,6.370548e+00,7,6,nan,nan,17
58,799481311023805,0.000000e+00,6.966922e+01,1,0,0.000000e+00,6.762960e+01,1,0,1.420000e+03,5.660000e-01,-1
58,799481311023805,3.787187e+00,1.335942e+01,7,6,3.787187e+00,1.340087e+01,7,6,6.992890e+03,5.727821e-01,0
59,283502796247278,0.000000e+00,2.939940e+01,1,0,0.000000e+00,7.270840e+00,1,0,9.720000e+01,2.430000e-01,-1
59,283502796247278,6.362710e+00,1.212041e+01,7,6,6.362710e+00,nan,7,-1,nan,nan,0
60,417682149751237,0.000000e+00,2.825383e+01,1,0,0.000000e+00,1.817409e+01,1,0,2.370000e+04,6.780000e-01,-1
60,417682149751237,1.009380e+01,9.080552e+00,7,6,1.009380e+01,2.127023e+00,7,5,nan,nan,0
61,786978872327652,0.000000e+00,2.377028e+01,1,0,0.000000e+00,6.834848e+00,1,0,5.360000e+04,3.930000e-01,-1
61,786978872327652,5.424806e+01,6.661800e+00,7,6,5.424806e+01,9.644076e-01,7,2,nan,nan,0
62,581698619648817,0.000000e+00,2.533359e+01,1,0,0.000000e+00,2.493678e+01,1,0,1.910000e+04,1.540000e-01,-1
62,581698619648817,7.628524e+00,7.679699e+00,7,6,7.628524e+00,7.456979e+00,7,6,nan,nan,0
63,537515066273724,0.000000e+00,3.529547e+01,1,0,0.000000e+00,1.991072e+01,1,0,1.670000e+04,4.700000e-01,-1
63,537515066273724,9.076118e+00,6.423997e+00,7,6,9.076118e+00,3.427938e+00,7,6,nan,nan,0
64,445499329500466,0.000000e+00,3.889213e+01,1,0,0.000000e+00,3.073321e+01,1,0,1.060000e+02,1.660000e-01,-1
64,445499329500466,5.272437e+00,2.107162e+01,7,6,5.272437e+00,nan,7,-1,nan,nan,0
65,270028870096840,0.000000e+00,4.837077e+01,1,0,0.000000e+00,1.244090e+01,1,0,2.830000e+04,2.780000e-01,-1
65,270028870096840,1.723394e+01,6.848423e+00,7,6,1.723394e+01,1.235519e+00,7,5,nan,nan,0
66,631220803104308,0.000000e+00,9.619758e+01,1,0,0.000000e+00,6.948020e+01,1,0,3.050000e+03,6.780000e-02,-1
66,631220803104308,3.742245e+00,1.506907e+01,7,6,3.742245e+00,1.331215e+01,7,6,1.738442e+04,8.309252e-02,0
67,612905202716404,0.000000e+00,5.604077e+01,1,0,0.000000e+00,3.068343e+01,1,0,3.210000e+02,3.330000e-01,-1
67,612905202716404,5.502670e+00,1.291128e+01,7,6,5.502670e+00,nan,7,-1,nan,nan,13
68,327012848693621,0.000000e+00,2.624885e+01,1,0,0.000000e+00,2.568254e+01,1,0,4.520000e+01,3.570000e-03,-1
