#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
300        214483517958418      38.559             0.02               0.0                delayed            zams               4.810              0.02               0.0                delayed            zams               1.22e+04           0.604              end                end            844796214606734  
301        687019826597720      30.138             0.02               0.0                delayed            zams               28.977             0.02               0.0                delayed            zams               452                0.749              end                end            577048988552081  
302        385160544394989      30.891             0.02               0.0                delayed            zams               11.075             0.02               0.0                delayed            zams               40.1               0.364              end                end            928147412295731  
303        657166969268749      52.161             0.02               0.0                delayed            zams               14.180             0.02               0.0                delayed            zams               69.5               0.0518             end                end            103068747841938  
304        628216088345511      29.335             0.02               0.0                delayed            zams               5.578              0.02               0.0                delayed            zams               38.8               0.0831             end                end            596089671951081  
305        261455942773102      23.431             0.02               0.0                delayed            zams               2.473              0.02               0.0                delayed            zams               342                0.151              end                end            954302421034175  
306        652948234675523      56.722             0.02               0.0                delayed            zams               38.866             0.02               0.0                delayed            zams               55.9               0.0929             end                end            184314122240653  
307        491374032839579      148.421            0.02               0.0                delayed            zams               74.563             0.02               0.0                delayed            zams               3.34e+03           0.0231             end                end            928248615283787  
308        950180303199810      44.374             0.02               0.0                delayed            zams               26.906             0.02               0.0                delayed            zams               1.77e+04           0.622              end                end            640410665778000  
309        496114491669748      63.949             0.02               0.0                delayed            zams               17.820             0.02               0.0                delayed            zams               1.28e+03           0.782              end                end            589486463011348  
310        564835593122911      133.637            0.02               0.0                delayed            zams               111.227            0.02               0.0                delayed            zams               8.38e+03           0.917              end                end            844270671698160  
311        387580723335879      123.076            0.02               0.0                delayed            zams               90.120             0.02               0.0                delayed            zams               1.8e+04            0.541              end                end            551025647375847  
312        469929693259654      74.354             0.02               0.0                delayed            zams               60.231             0.02               0.0                delayed            zams               81.4               0.543              end                end            774272770904826  
313        175945175953791      32.391             0.02               0.0                delayed            zams               26.142             0.02               0.0                delayed            zams               122                0.0741             end                end            425763460194510  
314        323584580434976      82.089             0.02               0.0                delayed            zams               75.045             0.02               0.0                delayed            zams               2.31e+04           0.118              end                end            230860309168392  
315        316236544923858      26.260             0.02               0.0                delayed            zams               18.039             0.02               0.0                delayed            zams               457                0.9                end                end            414874569642673  
316        276003678351372      23.995             0.02               0.0                delayed            zams               19.432             0.02               0.0                delayed            zams               1.72e+04           0.0368             end                end            892005569395062  
317        567286760416064      25.546             0.02               0.0                delayed            zams               20.034             0.02               0.0                delayed            zams               276                0.537              end                end            533122235471623  
318        412269707379208      54.841             0.02               0.0                delayed            zams               15.388             0.02               0.0                delayed            zams               252                0.449              end                end            979753011108959  
319        805579091421663      47.402             0.02               0.0                delayed            zams               17.059             0.02               0.0                delayed            zams               116                0.408              end                end            93069812062892   
320        979002194974682      30.599             0.02               0.0                delayed            zams               12.768             0.02               0.0                delayed            zams               527                0.59               end                end            90607300829911   
321        663186604460216      26.204             0.02               0.0                delayed            zams               16.324             0.02               0.0                delayed            zams               80.1               0.0195             end                end            576429278714717  
322        812122461397083      31.269             0.02               0.0                delayed            zams               14.970             0.02               0.0                delayed            zams               5.95e+03           0.596              end                end            850498649216295  
323        402379335799946      67.556             0.02               0.0                delayed            zams               28.287             0.02               0.0                delayed            zams               146                0.0971             end                end            488283385386807  
324        117584394022453      42.210             0.02               0.0                delayed            zams               40.708             0.02               0.0                delayed            zams               3.48e+03           0.558              end                end            79280754369311   
325        600828047990181      28.552             0.02               0.0                delayed            zams               16.130             0.02               0.0                delayed            zams               62.2               0.516              end                end            726942409771847  
326        644813698139582      110.877            0.02               0.0                delayed            zams               85.194             0.02               0.0                delayed            zams               136                0.11               end                end            15157423729200   
327        834362967328754      31.286             0.02               0.0                delayed            zams               8.910              0.02               0.0                delayed            zams               41.5               0.121              end                end            849838371502794  
328        216697284913212      46.355             0.02               0.0                delayed            zams               13.824             0.02               0.0                delayed            zams               3.79e+03           0.607              end                end            447638149699505  
329        779707524223240      24.172             0.02               0.0                delayed            zams               23.601             0.02               0.0                delayed            zams               94.2               0.00789            end                end            565442593031463  
330        823850880245782      80.647             0.02               0.0                delayed            zams               64.330             0.02               0.0                delayed            zams               420                0.0929             end                end            783200593421935  
331        495449183372714      26.091             0.02               0.0                delayed            zams               20.964             0.02               0.0                delayed            zams               6.63e+03           0.00883            end                end            491822175988094  
332        166351757995588      39.031             0.02               0.0                delayed            zams               28.688             0.02               0.0                delayed            zams               146                0.01               end                end            634063991770780  
333        833219827270862      38.129             0.02               0.0                delayed            zams               7.044              0.02               0.0                delayed            zams               489                0.0426             end                end            3072633714830    
334        659059317765511      33.127             0.02               0.0                delayed            zams               16.067             0.02               0.0                delayed            zams               1.11e+04           0.0177             end                end            884585909589688  
335        811032271926299      27.007             0.02               0.0                delayed            zams               6.412              0.02               0.0                delayed            zams               45.1               0.138              end                end            437823180344976  
336        572998423582011      44.747             0.02               0.0                delayed            zams               27.042             0.02               0.0                delayed            zams               41                 0.0379             end                end            677285261842812  
337        403760653079789      33.536             0.02               0.0                delayed            zams               10.699             0.02               0.0                delayed            zams               35.9               0.159              end                end            610594724583679  
338        457652959409934      138.735            0.02               0.0                delayed            zams               51.827             0.02               0.0                delayed            zams               288                0.000271           end                end            977122017958413  
339        996417271778508      49.799             0.02               0.0                delayed            zams               39.242             0.02               0.0                delayed            zams               8.93e+03           0.626              end                end            275043274070468  
340        304706397584465      22.223             0.02               0.0                delayed            zams               7.093              0.02               0.0                delayed            zams               1.62e+03           0.0118             end                end            570263438924060  
341        409287083526020      30.104             0.02               0.0                delayed            zams               12.931             0.02               0.0                delayed            zams               323                0.0187             end                end            880568404910628  
342        327453788330159      27.770             0.02               0.0                delayed            zams               19.824             0.02               0.0                delayed            zams               3.54e+04           0.763              end                end            537278127442526  
343        154357078969681      29.726             0.02               0.0                delayed            zams               9.015              0.02               0.0                delayed            zams               338                0.731              end                end            252485862804738  
344        985948233187061      27.567             0.02               0.0                delayed            zams               25.043             0.02               0.0                delayed            zams               7.94e+03           0.169              end                end            458607323225025  
345        708388059544775      84.564             0.02               0.0                delayed            zams               83.539             0.02               0.0                delayed            zams               114                0.183              end                end            429762557925775  
346        692065763790177      22.991             0.02               0.0                delayed            zams               5.360              0.02               0.0                delayed            zams               3.23e+03           0.269              end                end            536046705264736  
347        301986179834197      79.378             0.02               0.0                delayed            zams               32.266             0.02               0.0                delayed            zams               1.02e+04           0.199              end                end            638510470848495  
348        402803794130589      28.719             0.02               0.0                delayed            zams               22.597             0.02               0.0                delayed            zams               2.72e+03           0.198              end                end            591504839993899  
349        518686756635481      22.353             0.02               0.0                delayed            zams               6.611              0.02               0.0                delayed            zams               1.35e+03           0.111              end                end            481907552706543  
350        299859642126282      23.644             0.02               0.0                delayed            zams               20.549             0.02               0.0                delayed            zams               63.5               0.113              end                end            496814316032298  
351        868869212927882      27.754             0.02               0.0                delayed            zams               15.496             0.02               0.0                delayed            zams               148                0.0293             end                end            230565439186988  
352        464059282917034      29.104             0.02               0.0                delayed            zams               27.258             0.02               0.0                delayed            zams               185                0.24               end                end            97387955747088   
353        427073110397190      68.431             0.02               0.0                delayed            zams               35.863             0.02               0.0                delayed            zams               35.1               0.00305            end                end            795637710966225  
354        428743734860909      36.787             0.02               0.0                delayed            zams               17.061             0.02               0.0                delayed            zams               1.84e+03           0.00104            end                end            583149708502158  
355        839538048524000      93.457             0.02               0.0                delayed            zams               21.929             0.02               0.0                delayed            zams               354                2.13e-05           end                end            950358960895760  
356        713637014321850      22.706             0.02               0.0                delayed            zams               3.574              0.02               0.0                delayed            zams               2.18e+03           0.419              end                end            84464877340078   
357        593530869718089      23.058             0.02               0.0                delayed            zams               6.945              0.02               0.0                delayed            zams               22.9               0.000356           end                end            716035808840428  
358        896008661258286      39.981             0.02               0.0                delayed            zams               19.857             0.02               0.0                delayed            zams               90                 0.0199             end                end            40842420377445   
