ID,name,Worldtime_0,Mass_0,Phase_0,RemnantType_0,Worldtime_1,Mass_1,Phase_1,RemnantType_1,Semimajor,Eccentricity,BEvent
200,883685317901255,0.000000e+00,2.482811e+01,1,0,0.000000e+00,1.308059e+01,1,0,6.410000e+01,5.770000e-01,-1
200,883685317901255,9.309421e+00,1.235519e+00,7,5,9.309421e+00,nan,7,-1,nan,nan,0
201,868756116459079,0.000000e+00,1.316716e+02,1,0,0.000000e+00,3.087158e+01,1,0,7.770000e+03,9.830000e-01,-1
201,868756116459079,5.523771e+00,1.725287e+01,7,6,5.523771e+00,nan,7,-1,nan,nan,13
202,788544547936215,0.000000e+00,3.225628e+01,1,0,0.000000e+00,1.225599e+01,1,0,1.830000e+04,5.990000e-02,-1
202,788544547936215,1.831572e+01,8.164049e+00,7,6,1.831572e+01,1.287131e+00,7,3,5.506012e+02,1.090023e-01,0
203,409643725701205,0.000000e+00,2.462970e+01,1,0,0.000000e+00,1.486353e+01,1,0,1.070000e+02,6.080000e-02,-1
203,409643725701205,7.719128e+00,1.130996e+01,7,6,7.719128e+00,nan,7,-1,nan,nan,0
204,119786374207917,0.000000e+00,3.601819e+01,1,0,0.000000e+00,3.417058e+01,1,0,4.510000e+02,3.070000e-01,-1
204,119786374207917,5.534245e+00,nan,7,-1,5.534245e+00,1.605771e+01,7,6,nan,nan,0
205,582975958094083,0.000000e+00,2.332262e+01,1,0,0.000000e+00,1.323351e+01,1,0,3.920000e+03,1.570000e-01,-1
205,582975958094083,1.540618e+01,6.346464e+00,7,6,1.540618e+01,1.236222e+00,7,5,nan,nan,0
206,635276307240029,0.000000e+00,2.307437e+01,1,0,0.000000e+00,2.426938e+00,1,0,9.640000e+03,6.600000e-01,-1
206,635276307240029,8.794160e+02,6.099098e+00,7,6,8.794160e+02,4.232778e-01,7,2,nan,nan,0
207,933000856621994,0.000000e+00,3.345285e+01,1,0,0.000000e+00,2.673838e+01,1,0,3.870000e+01,2.050000e-01,-1
207,933000856621994,5.265494e+00,1.409770e+01,7,6,5.265494e+00,nan,7,-1,nan,nan,0
208,956877698224711,0.000000e+00,3.020759e+01,1,0,0.000000e+00,1.719231e+01,1,0,2.470000e+01,9.260000e-05,-1
208,956877698224711,5.521780e+00,8.119874e+00,7,6,5.521780e+00,nan,7,-1,nan,nan,0
209,898576117917324,0.000000e+00,3.516407e+01,1,0,0.000000e+00,1.517032e+01,1,0,2.750000e+02,1.810000e-01,-1
209,898576117917324,5.580888e+00,9.885058e+00,7,6,5.580888e+00,nan,7,-1,nan,nan,0
210,906051266622638,0.000000e+00,2.318503e+01,1,0,0.000000e+00,2.001155e+01,1,0,6.800000e+02,8.850000e-01,-1
210,906051266622638,8.124590e+00,1.118149e+01,7,6,8.124590e+00,nan,7,-1,nan,nan,0
211,369158261011643,0.000000e+00,3.513520e+01,1,0,0.000000e+00,2.201255e+01,1,0,1.940000e+02,2.830000e-04,-1
211,369158261011643,5.613248e+00,1.385066e+01,7,6,5.613248e+00,nan,7,-1,nan,nan,0
212,754957295747073,0.000000e+00,3.206814e+01,1,0,0.000000e+00,2.662472e+01,1,0,4.610000e+01,6.760000e-03,-1
212,754957295747073,5.565089e+00,1.564009e+01,7,6,5.565089e+00,nan,7,-1,nan,nan,0
213,278022870971351,0.000000e+00,2.544326e+01,1,0,0.000000e+00,1.924663e+01,1,0,2.060000e+02,6.520000e-01,-1
213,278022870971351,7.484326e+00,1.363937e+01,7,6,7.484326e+00,nan,7,-1,nan,nan,0
214,362924202764723,0.000000e+00,6.555831e+01,1,0,0.000000e+00,6.239250e+01,1,0,1.130000e+02,8.540000e-02,-1
214,362924202764723,3.566003e+00,2.938970e+01,7,6,3.566003e+00,nan,7,-1,nan,nan,0
