#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
542        362560452238828      5.6115             0.0002             0.0                delayed            zams               5.0297             0.0002             0.0                delayed            zams               79.40302750434563    0.441              end                events         2607761018       
543        291021922560192      9.6506             0.0002             0.0                delayed            zams               9.3118             0.0002             0.0                delayed            zams               9799.115961782873    0.5491             end                events         337888272        
544        355145580941236      12.0891            0.0002             0.0                delayed            zams               4.394              0.0002             0.0                delayed            zams               34.71592966918326    0.2147             end                events         1188256367       
545        349748350210267      9.2695             0.0002             0.0                delayed            zams               6.6165             0.0002             0.0                delayed            zams               1566.027760242096    0.5661             end                events         3827623439       
546        588162689895066      41.6605            0.0002             0.0                delayed            zams               6.3165             0.0002             0.0                delayed            zams               49.17527510128228    0.0067             end                events         235597076        
547        114601237030738      6.7655             0.0002             0.0                delayed            zams               6.7421             0.0002             0.0                delayed            zams               55.39964718091228    0.6544             end                events         2742262385       
548        440498889240771      13.6587            0.0002             0.0                delayed            zams               6.738              0.0002             0.0                delayed            zams               362.96766610396617    0.3457             end                events         998290414        
549        241950619551231      12.9517            0.0002             0.0                delayed            zams               6.0293             0.0002             0.0                delayed            zams               22.77947991198668    0.2986             end                events         2040580006       
550        814104769811249      6.1704             0.0002             0.0                delayed            zams               4.573              0.0002             0.0                delayed            zams               20.01974812389276    0.8685             end                events         1931292629       
551        402668697833216      7.0206             0.0002             0.0                delayed            zams               5.7867             0.0002             0.0                delayed            zams               13.417715065869308    0.1891             end                events         2448321264       
552        424784965153143      7.1971             0.0002             0.0                delayed            zams               3.3594             0.0002             0.0                delayed            zams               359.7143559779382    0.0606             end                events         1800474664       
553        496156428985937      6.1825             0.0002             0.0                delayed            zams               5.7336             0.0002             0.0                delayed            zams               941.869447168069    0.4174             end                events         1164283325       
554        846509738930944      8.5083             0.0002             0.0                delayed            zams               4.1751             0.0002             0.0                delayed            zams               545.5929943770586    0.8854             end                events         748293844        
555        392827925212397      8.8734             0.0002             0.0                delayed            zams               7.8968             0.0002             0.0                delayed            zams               16.491692365097776    0.0071             end                events         3652738286       
556        687131613229669      5.1693             0.0002             0.0                delayed            zams               3.2268             0.0002             0.0                delayed            zams               49.46355610308925    0.0223             end                events         638701475        
557        892783463958219      9.8308             0.0002             0.0                delayed            zams               2.5869             0.0002             0.0                delayed            zams               582.5825545994867    0.2732             end                events         1629027990       
558        100836701196663      7.4935             0.0002             0.0                delayed            zams               4.4779             0.0002             0.0                delayed            zams               8051.8052256143155    0.1235             end                events         1455046134       
559        112445369472940      5.2705             0.0002             0.0                delayed            zams               2.3357             0.0002             0.0                delayed            zams               2711.091658155829    0.8631             end                events         1070932496       
560        353569152958985      6.0351             0.0002             0.0                delayed            zams               3.4629             0.0002             0.0                delayed            zams               13.986171685853366    0.021              end                events         3095901689       
561        720808519072553      14.125             0.0002             0.0                delayed            zams               12.8993            0.0002             0.0                delayed            zams               589.0941450775788    0.1513             end                events         1259918829       
562        361229731344007      9.8714             0.0002             0.0                delayed            zams               8.3387             0.0002             0.0                delayed            zams               25.761595588695545    0.2074             end                events         2274532988       
563        672210475792648      36.5636            0.0002             0.0                delayed            zams               6.057              0.0002             0.0                delayed            zams               259.8068713448735    0.337              end                events         3496192244       
564        650103410338142      13.8783            0.0002             0.0                delayed            zams               6.718              0.0002             0.0                delayed            zams               291.7011414751332    0.3239             end                events         399823941        
565        856591295336074      16.4703            0.0002             0.0                delayed            zams               8.0034             0.0002             0.0                delayed            zams               1126.5203744566338    0.0341             end                events         2214855909       
566        149323494633687      6.2626             0.0002             0.0                delayed            zams               2.7068             0.0002             0.0                delayed            zams               14.413030427399184    0.2276             end                events         1511388934       
567        345877327765708      9.5931             0.0002             0.0                delayed            zams               7.2729             0.0002             0.0                delayed            zams               23.467322861698808    0.5378             end                events         3843190055       
568        692312675841405      5.536              0.0002             0.0                delayed            zams               4.9612             0.0002             0.0                delayed            zams               26022.04411349692    0.004              end                events         3910208345       
569        969471413278314      12.1119            0.0002             0.0                delayed            zams               11.6216            0.0002             0.0                delayed            zams               27.122175651118567    0.4182             end                events         896908758        
570        562213667878275      6.5301             0.0002             0.0                delayed            zams               3.1633             0.0002             0.0                delayed            zams               7780.105128684547    0.6323             end                events         3534259463       
571        104079832852254      63.256             0.0002             0.0                delayed            zams               13.4744            0.0002             0.0                delayed            zams               83.78607786624717    0.03               end                events         840061346        
572        474124097591107      6.1186             0.0002             0.0                delayed            zams               4.1538             0.0002             0.0                delayed            zams               14.122861195864404    0.6105             end                events         2089513301       
573        513725998356874      14.6493            0.0002             0.0                delayed            zams               2.6072             0.0002             0.0                delayed            zams               1075.6820841164144    0.659              end                events         1975863347       
574        162854417226129      6.7883             0.0002             0.0                delayed            zams               3.2655             0.0002             0.0                delayed            zams               76.03285357426894    0.3085             end                events         3783946684       
575        224947932706394      17.7178            0.0002             0.0                delayed            zams               13.1065            0.0002             0.0                delayed            zams               2603.9612337323774    0.1242             end                events         2183380311       
576        763592966640809      9.3206             0.0002             0.0                delayed            zams               5.3762             0.0002             0.0                delayed            zams               926.9427080334189    0.2677             end                events         1820847010       
577        516597308601972      13.0382            0.0002             0.0                delayed            zams               2.9002             0.0002             0.0                delayed            zams               243.36712828763083    0.5376             end                events         508934996        
578        779524958295186      5.4006             0.0002             0.0                delayed            zams               2.7224             0.0002             0.0                delayed            zams               10497.65688280678    0.1201             end                events         4287814136       
579        551266305533730      7.196              0.0002             0.0                delayed            zams               6.2809             0.0002             0.0                delayed            zams               929.3839456396744    0.0115             end                events         2903666717       
580        624817579677116      10.5408            0.0002             0.0                delayed            zams               4.4078             0.0002             0.0                delayed            zams               16547.561053065976    0.2674             end                events         1567254690       
581        103689626982629      5.77               0.0002             0.0                delayed            zams               5.3414             0.0002             0.0                delayed            zams               13.162851161132298    0.778              end                events         2959671608       
582        380103666749257      64.1985            0.0002             0.0                delayed            zams               12.8209            0.0002             0.0                delayed            zams               429.1259295739737    0.5617             end                events         3069532411       
583        629584646727281      5.2485             0.0002             0.0                delayed            zams               2.2971             0.0002             0.0                delayed            zams               13.95762203745888    0.6117             end                events         4156792422       
584        752683465149710      5.0906             0.0002             0.0                delayed            zams               3.6689             0.0002             0.0                delayed            zams               79.07730800169357    0.0849             end                events         3614457616       
585        747356649363701      5.3035             0.0002             0.0                delayed            zams               2.9498             0.0002             0.0                delayed            zams               43.40966946574447    0.0557             end                events         1397551716       
586        620634214556002      41.0198            0.0002             0.0                delayed            zams               29.8423            0.0002             0.0                delayed            zams               8685.086903579939    0.0518             end                events         926879319        
587        418023105229894      9.1049             0.0002             0.0                delayed            zams               5.7423             0.0002             0.0                delayed            zams               45791.16592488396    0.6765             end                events         3426798807       
588        269011150618417      8.2085             0.0002             0.0                delayed            zams               4.7091             0.0002             0.0                delayed            zams               2774.8380549301346    0.2764             end                events         1159480607       
589        105659019018182      5.6758             0.0002             0.0                delayed            zams               4.0454             0.0002             0.0                delayed            zams               3206.5355009948507    0.0811             end                events         1969305899       
590        491597358162035      8.8646             0.0002             0.0                delayed            zams               3.977              0.0002             0.0                delayed            zams               28.81408028875037    0.1588             end                events         1709352854       
591        176593382658240      7.4689             0.0002             0.0                delayed            zams               6.0299             0.0002             0.0                delayed            zams               13.004910185944924    0.0383             end                events         3928840452       
592        780384153934811      9.8243             0.0002             0.0                delayed            zams               6.0098             0.0002             0.0                delayed            zams               111.41912730075536    0.4691             end                events         3306458741       
593        301859621539028      11.3709            0.0002             0.0                delayed            zams               4.0267             0.0002             0.0                delayed            zams               9044.452014768129    0.0253             end                events         2872695658       
594        700517270630255      10.1231            0.0002             0.0                delayed            zams               3.5601             0.0002             0.0                delayed            zams               2044.6295772355995    0.7606             end                events         3805759732       
595        607540192748543      5.0441             0.0002             0.0                delayed            zams               3.1232             0.0002             0.0                delayed            zams               29.52452948338784    0.1727             end                events         1920145123       
596        227738178834463      8.5999             0.0002             0.0                delayed            zams               7.7155             0.0002             0.0                delayed            zams               29119.77228831693    0.8284             end                events         456847940        
597        273469158404060      30.9283            0.0002             0.0                delayed            zams               18.6184            0.0002             0.0                delayed            zams               124.782256224045    0.1384             end                events         359030205        
598        729575287449370      11.8318            0.0002             0.0                delayed            zams               9.6057             0.0002             0.0                delayed            zams               18.104143841433725    0.1012             end                events         3435554880       
599        252309720622532      6.6782             0.0002             0.0                delayed            zams               4.8132             0.0002             0.0                delayed            zams               1740.0745874350257    0.4742             end                events         390888979        
600        339616590178876      27.2316            0.0002             0.0                delayed            zams               23.3648            0.0002             0.0                delayed            zams               50.479156127870986    0.653              end                events         836857735        
601        874698732982007      10.6129            0.0002             0.0                delayed            zams               3.2878             0.0002             0.0                delayed            zams               182.2346267306945    0.3963             end                events         1630662343       
602        213193165906931      10.5422            0.0002             0.0                delayed            zams               5.0989             0.0002             0.0                delayed            zams               20580.914126396925    0.2595             end                events         3679174633       
603        990909286383519      7.5577             0.0002             0.0                delayed            zams               6.5597             0.0002             0.0                delayed            zams               14.379842447284918    0.0753             end                events         1055278586       
604        178365272655337      48.7995            0.0002             0.0                delayed            zams               35.6417            0.0002             0.0                delayed            zams               27.80820241346136    0.1821             end                events         1988545087       
605        145213736664455      35.3592            0.0002             0.0                delayed            zams               27.4053            0.0002             0.0                delayed            zams               57.35221139805737    0.2959             end                events         4241792714       
606        149013724192685      8.4084             0.0002             0.0                delayed            zams               3.2011             0.0002             0.0                delayed            zams               717.8287393743541    0.8714             end                events         197666736        
607        529907014043098      30.0722            0.0002             0.0                delayed            zams               8.2847             0.0002             0.0                delayed            zams               19.59752627773264    0.8928             end                events         1214376130       
608        914323239762130      10.5816            0.0002             0.0                delayed            zams               2.899              0.0002             0.0                delayed            zams               19550.233728721578    0.7436             end                events         200476897        
609        908119118132727      5.2904             0.0002             0.0                delayed            zams               3.6674             0.0002             0.0                delayed            zams               3221.571251786748    0.293              end                events         1198805216       
610        579686104861493      5.5623             0.0002             0.0                delayed            zams               2.8541             0.0002             0.0                delayed            zams               15.840005184759733    0.0341             end                events         1585679832       
611        870219383251079      9.5332             0.0002             0.0                delayed            zams               4.2718             0.0002             0.0                delayed            zams               92.29404731388026    0.2125             end                events         987514021        
612        356459941211433      10.0121            0.0002             0.0                delayed            zams               5.7186             0.0002             0.0                delayed            zams               1009.5003690056852    0.7005             end                events         808322753        
613        668833539774017      39.5399            0.0002             0.0                delayed            zams               18.6257            0.0002             0.0                delayed            zams               64920.06498557224    0.6547             end                events         1667264147       
614        814432058508193      7.7298             0.0002             0.0                delayed            zams               7.7174             0.0002             0.0                delayed            zams               323.4664947852459    0.0908             end                events         2336041455       
615        976480469924686      31.9594            0.0002             0.0                delayed            zams               27.1799            0.0002             0.0                delayed            zams               17589.328662251788    0.1033             end                events         3248193383       
616        547391086397906      12.9452            0.0002             0.0                delayed            zams               2.9392             0.0002             0.0                delayed            zams               423.5247700711632    0.1456             end                events         13935744         
617        557161077648219      5.9336             0.0002             0.0                delayed            zams               3.3186             0.0002             0.0                delayed            zams               7630.681216760263    0.0083             end                events         680596961        
618        969068546569763      8.3426             0.0002             0.0                delayed            zams               8.0115             0.0002             0.0                delayed            zams               21.74192856555552    0.6016             end                events         572461232        
619        865226147484269      6.8227             0.0002             0.0                delayed            zams               6.0434             0.0002             0.0                delayed            zams               13.958903983672078    0.139              end                events         3632967743       
620        969967462854786      6.1609             0.0002             0.0                delayed            zams               4.3949             0.0002             0.0                delayed            zams               152.06449930046008    0.0272             end                events         1663702681       
621        705028342659263      10.3108            0.0002             0.0                delayed            zams               8.0156             0.0002             0.0                delayed            zams               41807.304653764935    0.4334             end                events         3728012911       
622        609335779883894      11.1426            0.0002             0.0                delayed            zams               11.1424            0.0002             0.0                delayed            zams               636.4121565181401    0.4695             end                events         41896910         
623        144583148809033      6.8462             0.0002             0.0                delayed            zams               6.4962             0.0002             0.0                delayed            zams               45.605982252747    0.8288             end                events         1122591509       
624        147058745267606      6.1437             0.0002             0.0                delayed            zams               4.2874             0.0002             0.0                delayed            zams               79.53598818056929    0.2005             end                events         622709783        
625        446388944402428      6.6373             0.0002             0.0                delayed            zams               2.2859             0.0002             0.0                delayed            zams               18.18773900880592    0.0244             end                events         4277039317       
626        898579375747577      7.6647             0.0002             0.0                delayed            zams               4.9291             0.0002             0.0                delayed            zams               795.7812396677193    0.003              end                events         527389198        
627        541006982819066      52.5697            0.0002             0.0                delayed            zams               51.8431            0.0002             0.0                delayed            zams               315.15930339599043    0.5243             end                events         2022501303       
628        333927973151208      13.7254            0.0002             0.0                delayed            zams               3.1024             0.0002             0.0                delayed            zams               15.10201231790738    0.42               end                events         2839276038       
629        164642479377645      5.0377             0.0002             0.0                delayed            zams               2.3748             0.0002             0.0                delayed            zams               57.012624156417466    0.6891             end                events         36237674         
630        563787636165441      11.5836            0.0002             0.0                delayed            zams               9.293              0.0002             0.0                delayed            zams               16.593845021811017    0.2113             end                events         2933791285       
631        982930967166562      5.2622             0.0002             0.0                delayed            zams               3.1555             0.0002             0.0                delayed            zams               12.29100571129019    0.4635             end                events         843922180        
632        545958168178567      7.9882             0.0002             0.0                delayed            zams               5.4612             0.0002             0.0                delayed            zams               6240.075954090536    0.5289             end                events         2416833618       
633        300355065301608      16.7637            0.0002             0.0                delayed            zams               5.7439             0.0002             0.0                delayed            zams               147.90229523565802    0.5088             end                events         272665643        
634        101428147235356      10.0339            0.0002             0.0                delayed            zams               6.0729             0.0002             0.0                delayed            zams               48.0519786206786    0.114              end                events         3671957435       
635        444711878549936      5.9819             0.0002             0.0                delayed            zams               3.6218             0.0002             0.0                delayed            zams               26546.804178351365    0.0082             end                events         1618410572       
636        691705348721179      7.6462             0.0002             0.0                delayed            zams               6.042              0.0002             0.0                delayed            zams               122.58009205080664    0.1612             end                events         1154123468       
637        432559011137304      6.5895             0.0002             0.0                delayed            zams               5.0297             0.0002             0.0                delayed            zams               12.931538433460238    0.3861             end                events         817956793        
638        461458401736268      5.1831             0.0002             0.0                delayed            zams               4.6929             0.0002             0.0                delayed            zams               40956.88549526902    0.0                end                events         469638612        
639        376365220111699      13.9967            0.0002             0.0                delayed            zams               11.1935            0.0002             0.0                delayed            zams               35.361957059355895    0.006              end                events         2585050305       
640        256813723675699      5.4281             0.0002             0.0                delayed            zams               2.5824             0.0002             0.0                delayed            zams               23.035177101162244    0.0542             end                events         1873128042       
641        831037105604486      8.1766             0.0002             0.0                delayed            zams               8.0886             0.0002             0.0                delayed            zams               34093.75121400333    0.5209             end                events         1838749549       
642        140996505954357      13.2319            0.0002             0.0                delayed            zams               10.4324            0.0002             0.0                delayed            zams               576.7289984442945    0.3928             end                events         1995832865       
643        842388134246780      13.7117            0.0002             0.0                delayed            zams               4.4602             0.0002             0.0                delayed            zams               519.3769724685626    0.2047             end                events         767360773        
